Año;Mes;Dia; Hora
2020;09;20;10-29-49
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
6;-2;-2;-1;-1;-1;1;1;
-9;16;9;0;-1;-1;0;-2;
3;-3;6;2;0;1;2;4;
-3;0;-3;-4;-2;-4;-2;-3;
-6;-18;-15;1;2;1;0;-1;
-1;9;0;-2;-2;-2;-1;-3;
0;-15;-1;-2;1;0;-2;-2;
-2;2;5;-1;0;-3;-2;-2;
-1;0;2;-3;-3;-1;-3;-1;
4;-9;-4;0;-1;0;0;0;
-4;-10;-7;-3;-3;-1;0;-3;
-2;9;2;0;1;-1;0;1;
-2;2;1;1;1;-1;-3;-2;
-2;6;-2;-2;1;-1;-1;0;
-4;-35;-6;-3;-2;-1;0;0;
-3;12;4;-1;-4;-1;-2;-2;
-3;-12;-16;0;-3;-1;-2;-1;
-3;1;1;-1;-2;-2;-2;-2;
-12;-20;-2;-1;0;-1;0;-2;
11;-3;-3;-1;0;-1;1;2;
-4;-6;6;1;-1;-2;-1;-1;
4;26;3;-1;0;-1;0;0;
-2;-10;-2;3;2;1;0;-2;
-2;4;1;-2;-2;-2;-2;-1;
-4;1;-1;-2;0;1;-1;-1;
1;15;-3;-2;-3;1;1;-1;
0;-9;1;0;-4;-3;-3;-3;
0;-22;-14;-1;-2;2;1;1;
-1;19;7;-1;-2;-2;1;-1;
-2;14;11;0;0;1;-2;0;
-1;-10;-16;-7;-4;-2;-4;-3;
-4;-10;3;2;-1;-1;0;0;
0;-25;-4;-2;1;0;1;0;
-2;10;5;2;0;0;-3;-3;
10;23;6;3;3;1;1;2;
-8;-16;-7;-4;-4;-1;-2;-2;
0;-2;-1;-2;-2;-2;-1;0;
-13;-23;-6;-1;-2;0;-2;-2;
13;-11;-10;-3;0;-1;0;2;
2;27;6;-1;-2;-3;-2;-3;
2;13;0;0;1;-1;0;0;
-5;-20;-10;-2;-2;0;1;0;
-3;8;5;3;4;0;0;0;
-3;-12;-9;-2;-1;-2;-1;-1;
4;13;3;-2;-1;-4;-1;0;
-1;-7;3;0;-2;-1;-1;-1;
-3;6;-3;-3;-3;-3;-2;-3;
-3;-4;3;-1;-2;1;-1;-1;
11;10;-5;-2;-2;-2;0;-2;
-3;-6;-1;-2;0;-2;-1;-1;
-7;1;-1;-1;-1;-1;0;-1;
5;-11;-8;-4;-3;0;1;0;
6;10;11;7;3;1;-2;-1;
-4;-16;-2;0;0;1;0;2;
2;13;6;2;1;0;0;0;
-9;4;4;2;-2;0;-2;-2;
7;-32;-16;-4;-4;0;-1;1;
1;23;3;0;-2;-1;-3;0;
-2;-24;-5;-3;-2;-1;-1;-2;
-2;4;4;-1;-2;-2;-1;-2;
-7;-10;-4;-2;-2;-1;-1;0;
-3;8;5;1;1;1;0;0;
-2;0;-10;-7;-4;0;-1;-1;
10;18;4;2;0;-3;0;-1;
-1;0;-4;-3;-2;-1;-1;0;
-5;-1;6;3;1;2;0;-2;
6;-12;-9;0;1;0;1;0;
-2;-17;-11;-1;0;-1;-2;0;
-4;-4;-1;-3;2;-2;-2;-2;
0;-2;-3;0;1;-1;0;0;
-3;-5;-1;-1;-1;-1;0;-2;
-4;20;4;-2;-1;-1;-2;0;
4;-18;-8;-3;-4;-1;-1;-1;
1;10;11;2;-1;-1;-3;-1;
-3;-8;-15;-5;-2;0;-4;-1;
-1;4;6;3;2;0;1;1;
-7;2;7;3;1;0;0;-4;
-5;6;-7;0;-3;0;0;-2;
4;-8;4;1;-1;-2;-3;-1;
-5;7;-3;-4;-1;-2;-3;0;
-4;-17;-4;-1;-1;-2;-2;-2;
5;7;3;-2;0;-2;0;-2;
-6;5;7;-2;0;-1;-1;-1;
-2;-17;-8;-2;-2;1;2;-2;
3;9;-3;-3;-2;-3;-3;0;
0;11;1;-3;-2;-1;-1;-1;
1;7;3;0;-1;0;0;0;
2;12;3;-1;0;-3;1;-1;
-2;6;-1;0;-3;-4;1;-1;
-4;-36;-5;-4;-3;0;-1;-1;
-8;9;1;-1;-1;-1;-2;-2;
8;24;14;0;-2;-1;-2;0;
-2;-2;-7;-3;-1;-2;-1;-1;
-2;1;7;2;1;0;-1;0;
-7;-5;-3;-1;0;0;-3;-2;
-3;3;6;-2;0;-1;-1;-1;
0;-5;1;1;-1;0;-2;-1;
-1;-5;-3;-2;-2;-1;-2;1;
-2;-21;0;2;-1;-2;-1;0;
3;4;1;-3;0;-2;-1;-2;
-6;-5;-2;1;-2;0;0;0;
3;-20;-1;0;-1;-1;-1;-2;
-10;28;-2;-4;-1;1;-1;-4;
16;-6;-2;4;0;2;0;2;
-6;7;10;0;1;-1;-1;-1;
-3;-8;-8;-3;-2;-3;-1;-2;
-2;-6;-5;1;1;-2;-1;-2;
-5;6;5;-3;-3;-3;-1;-2;
8;6;2;-2;-3;-2;-1;0;
-6;11;6;3;1;-1;-1;-1;
14;-11;0;-1;-2;0;1;3;
-7;-9;6;-1;3;-1;0;-1;
3;-1;-9;-2;0;-2;-2;0;
-6;-15;-9;-1;-2;1;1;-2;
0;-15;-7;-1;0;-2;0;-1;
-9;13;-1;-1;-4;-1;-2;-3;
-3;-21;1;1;1;0;-1;0;
2;12;2;-1;-1;0;-1;1;
-6;-5;-4;-3;-4;-2;-3;-1;
-11;17;3;0;-2;-1;-1;-2;
12;18;4;1;0;0;0;1;
6;-13;-7;-4;-2;-1;-1;-1;
