Año;Mes;Dia; Hora
2020;11;02;21-14-23
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
-24312.975920793524;-23140.805738068313;-28155.397254871998;-20695.56959814663;-2122.2981360314056;-27037.8323838511;-21613.51103943718;-16143.994467734632;-28250.615686251604;-7895.306693948114;-17516.302170312665;-26618.51365786954;-28509.426535299604;-1162.9612640096266;-748.962253208429;-3832.743028729323;
-24267.445417338065;-23090.13433338813;-28105.530512992205;-20662.980754730794;-3627.531662885149;-27002.024889233697;-21597.194265984806;-17126.86772666785;-28253.320247330696;-8262.054116970792;-17542.47606306983;-26591.579805800895;-28410.117734684674;-1272.5965705629076;-766.798945283764;-4060.7531739179108;
-24318.139173762702;-23134.32373217627;-28158.10181595109;-20690.071069010624;-2025.515082539926;-27024.264874966728;-21593.03684151612;-16138.63004906536;-28231.50494474232;-7974.364814086535;-17508.70257719786;-26599.89465473827;-28481.531558219383;-1168.9962350125593;-733.5842530231778;-3830.6643164949796;
-24275.51439708643;-23088.927339187543;-28118.38276605401;-20680.95155727286;-3729.3215071346176;-27020.375671431506;-21622.407033730393;-17156.595546793407;-28270.329924861187;-8220.122244372636;-17557.988173721813;-26605.59434957437;-28421.047737723322;-1270.2496373951003;-779.9194192790293;-4052.572435447268;
-24332.421938469644;-23138.168232222586;-28169.43415038993;-20696.82129583613;-1957.454020673516;-26998.515665354214;-21572.450884872782;-16133.332685629452;-28246.86059318311;-8044.772809120752;-17518.582048247106;-26602.30864313944;-28484.034953598377;-1187.0787962769027;-744.1789798949933;-3857.106430185608;
-24263.332696358288;-23085.172246119055;-28102.088344346088;-20682.069144495625;-3782.2504380047844;-27003.857732279033;-21617.981388328244;-17167.905529487794;-28267.20068063744;-8165.628691390597;-17550.76856026275;-26592.809151745936;-28416.62209232117;-1253.262311609067;-778.9135907785405;-4027.1137985126734;
-24347.956400866082;-23155.15555800862;-28186.265013964778;-20701.872790083027;-1943.7300495779575;-26985.261080892218;-21563.59959406848;-16157.114941729897;-28240.15506984652;-8121.662810047008;-17523.81235644965;-26587.623547032304;-28473.104950559733;-1198.3887789712883;-745.8777124735967;-3873.4455553824373;
-24255.24136486547;-23074.15283610259;-28096.27689078771;-20687.27710095371;-3771.298083221684;-27002.449572378348;-21622.8540686195;-17122.57619173243;-28277.281317386787;-8081.519077005277;-17568.67230757145;-26597.21244540363;-28434.16821171859;-1245.0145179050587;-792.4810996629119;-4002.3704174006484;
-24356.651229459196;-23162.77750286788;-28183.2028249744;-20693.401478934466;-2007.097245108753;-26970.508929551714;-21546.94754444928;-16224.55015475156;-28231.192020319944;-8186.102889311659;-17526.829841951116;-26578.101703894343;-28455.022389295387;-1212.3362675113997;-744.1342764060827;-3897.518384160803;
-24261.097521912758;-23079.249033838398;-28086.79975113866;-20683.253786951755;-3691.2788380716847;-27005.735278813278;-21632.599429202015;-17045.75324603954;-28271.760436506327;-8005.277276668225;-17558.211691166365;-26596.474837836606;-28441.05254901082;-1220.6287647043187;-788.4354339165013;-3965.1771146270175;
-24351.689142190116;-23160.49762493344;-28166.461368377375;-20671.2285484348;-2115.0785225723416;-26949.29712406363;-21529.088500629485;-16322.383740232437;-28223.123040571576;-8246.877282485639;-17517.330350557608;-26563.21544208711;-28437.565676875794;-1223.4674362501428;-738.255767614337;-3922.418227484015;
-24261.455149824043;-23078.958461160477;-28079.13310279049;-20682.20325496236;-3550.3957927698843;-27005.95879625783;-21633.024112346666;-16943.941050045618;-28264.250250369343;-7931.337706010068;-17546.834653238613;-26591.378640100796;-28445.321732201784;-1196.198308014668;-779.2488669453701;-3932.9011956335544;
-24363.58027024034;-23154.35089520823;-28170.082350979133;-20676.347097915066;-2264.0752511114183;-26953.029865387663;-21531.569544264024;-16409.24261918576;-28216.372813746075;-8286.082242260247;-17518.872620925024;-26559.572107740893;-28425.406327892106;-1237.9513666571816;-739.5745205372001;-3960.2373791023947;
-24264.51733881442;-23064.295716797795;-28091.27010002972;-20695.457839424354;-3375.1804679847323;-27010.764421315722;-21634.298161780618;-16804.42146115559;-28259.0199421668;-7863.433106354846;-17548.86866198405;-26590.88690172278;-28464.67834290008;-1195.9300870812044;-784.8591548036522;-3904.3803697085823;
-24369.749351710005;-23150.461691673005;-28170.9987725018;-20687.411211420444;-2486.8327363530084;-26959.243650346238;-21543.617134525437;-16545.454149896403;-28216.462220723897;-8332.797388171839;-17533.0883303986;-26560.265011819007;-28420.28777841184;-1269.4449745947093;-753.5890643106776;-3991.8650975066544;
-24296.636795596696;-23106.38405160714;-28095.60633845405;-20703.683281383906;-3178.172192355656;-27030.8809913255;-21652.51483351169;-16689.600549888677;-28259.534032289273;-7831.336001317025;-17548.71219977286;-26596.720707025615;-28469.551023191336;-1190.0292265450032;-782.512221635845;-3881.4474798974375;
-24381.64047976023;-23175.69681116305;-28163.86856602056;-20687.254749209256;-2717.5697943651435;-26969.883080706964;-21555.620021297935;-16684.571407386233;-28232.35431103162;-8366.615577532719;-17539.905612457467;-26566.9705351556;-28409.737755028935;-1285.0464922245137;-758.0147097128284;-4023.962202544475;
-24325.4928976885;-23132.312075175298;-28108.99503338278;-20711.685205898906;-2940.4613900734653;-27040.045206552175;-21644.51290899669;-16544.51537662928;-28257.34356133265;-7812.985219119218;-17538.698618256883;-26593.278538379498;-28477.217671539507;-1177.2440287165678;-775.1808494545043;-3853.5077993283035;
-24393.330442110353;-23188.906692136134;-28160.605211330083;-20696.32955745811;-2952.1737041680462;-26980.634269789967;-21569.32164064904;-16796.151315707128;-28242.77022394779;-8366.950853699547;-17551.90849922997;-26571.597346257848;-28409.313071884284;-1291.975533005659;-769.5482098517668;-4046.649223166612;
-24354.43840675812;-23158.15069176563;-28126.42939405792;-20721.587028692607;-2705.477500614822;-27045.096700799073;-21647.262173564694;-16408.30384591864;-28257.052988654734;-7817.992009877206;-17539.056246168166;-26595.26784363602;-28483.45380824254;-1170.7620228245287;-772.252770930859;-3834.8664444525775;
