Año;Mes;Dia; Hora
2020;09;27;20-36-36
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
45733.88197825933;-187500.02235174447;-28848.502498686612;-14299.059128649133;-389.1885744558066;-10949.985498188198;-34038.801078653465;-20463.08910406698;-44612.00322055855;-1447.6554331368725;-9973.616596891476;-12780.8168865224;-14983.715413059643;-23174.62392742919;-20304.056442267472;-31827.319482245384;
45645.23495974958;-187500.02235174447;-29015.581788490035;-14405.252266556296;1077.8681728682725;-10675.796648954947;-34173.35858027441;-20594.740878908742;-44984.11506225051;-1572.31111196412;-10114.81256661565;-12668.119390978742;-15048.714285935675;-23239.80161426087;-20266.59491856038;-31878.169700881208;
45749.37173716685;-187500.02235174447;-28839.561800904492;-14291.906570423434;-325.6202132249133;-10941.603594017459;-33971.79054877646;-20447.778159115096;-44467.23097172153;-1363.1211356069011;-9867.579921195498;-12731.240717320528;-15009.73284360562;-23197.69092770707;-20311.432517937723;-31836.662511427705;
45633.45559042163;-187500.02235174447;-29039.922838201863;-14419.490327774327;997.6254102737201;-10672.488590775562;-34212.76470574912;-20604.821515658085;-45109.73186608933;-1634.2254441053205;-10223.486748157353;-12661.212701942051;-15025.982561824629;-23213.8288872038;-20256.201357388658;-31845.78202316547;
45717.654611784776;-187500.02235174447;-28865.020437839084;-14327.9822859743;-226.80315098800077;-11001.059234268574;-33996.35511593284;-20476.589557717987;-44319.9106240166;-1291.7296638166504;-9771.422716548768;-12777.8664562543;-15049.474245247156;-23243.914335240643;-20350.41396026778;-31901.70608779265;
45629.65579386423;-187500.02235174447;-29016.967596646264;-14406.302798545696;876.8365832372408;-10656.417686512195;-34155.58894343245;-20591.902207362917;-45185.23605885936;-1666.9260462434347;-10302.388406084587;-12669.058164245864;-15016.818346597953;-23208.755041212447;-20261.6328312913;-31833.890895115244;
45702.45542555516;-187500.02235174447;-28848.27898124206;-14318.50514632525;-107.04250419646553;-10991.783260319622;-33956.792528246944;-20462.41855173332;-44218.54546291178;-1228.4295235192208;-9685.569666095933;-12721.763577671478;-15049.474245247156;-23241.925029984122;-20330.92323910275;-31884.07056141741;
45639.71407886912;-187500.02235174447;-29005.07646859604;-14392.936455361421;711.4783777568791;-10651.433247498662;-34141.082661280954;-20568.768151851673;-45297.687685214005;-1734.8306458986576;-10389.001415848901;-12657.904643762666;-14968.851502996864;-23162.44222670105;-20238.297610079957;-31817.283548984953;
45711.083198914916;-187500.02235174447;-28859.410149980802;-14334.240774421785;59.61210246230394;-11004.143775003407;-33964.86150799531;-20475.650784450863;-44158.55338079374;-1193.6055056578525;-9631.098464858349;-12717.025007846953;-15061.83475993094;-23258.06298948085;-20333.78426239303;-31911.54085535298;
45668.16784956072;-187500.02235174447;-28978.276726994125;-14366.539045159703;522.9861167652747;-10645.219462540086;-34088.8466344889;-20539.241497426214;-45350.39309863962;-1760.915131678001;-10444.67961128707;-12670.689841591102;-14938.76605496002;-23137.922363033576;-20231.90501116574;-31791.266118438976;
45694.14057661779;-187500.02235174447;-28893.250691086138;-14354.066771753643;261.6495205938245;-10989.682196340824;-33965.28619113996;-20502.897560941885;-44148.0704126442;-1168.2586274455343;-9600.588333676855;-12681.910417307667;-15089.863847477896;-23288.237844495517;-20336.757044405585;-31933.13264049681;
45672.45938449614;-187500.02235174447;-28975.527462426122;-14358.738286344802;338.3830593088936;-10666.386564539262;-34057.487137018106;-20537.475709614242;-45354.25995043039;-1775.1308411515763;-10471.345242422252;-12677.596530627792;-14927.746644943554;-23128.266409428885;-20237.269429835014;-31781.23018517854;
45667.96668386063;-187500.02235174447;-28924.431374601292;-14367.053135282176;445.6490809499122;-10962.055440194064;-33975.880918011775;-20528.803232765586;-44146.863418443616;-1171.3431681803665;-9608.456147725123;-12693.242751746506;-15105.688882552253;-23312.310673273885;-20351.26332655708;-31960.71469315466;
45645.16790451621;-187500.02235174447;-28974.07459903653;-14351.652783352469;141.26302495754064;-10694.72857650859;-34029.994491338075;-20539.129738703938;-45305.19787135099;-1765.2513701023306;-10480.196533226554;-12683.922074308644;-14926.249078065048;-23132.557944364304;-20248.49000555158;-31762.588830302815;
45632.22624447659;-187500.02235174447;-28957.936639539796;-14387.773202392245;630.9003389954971;-10935.501567781159;-33981.78177854798;-20563.180215737848;-44185.576639840205;-1185.2683049760228;-9642.274337086003;-12691.052280789887;-15128.644124107854;-23333.991865395532;-20364.249690085613;-31987.894414412312;
45662.22228553561;-187500.02235174447;-28945.419662644825;-14326.417663862429;-45.239930777541495;-10743.433027676705;-34004.893482314765;-20515.68275877032;-45210.53823358277;-1718.4691689573729;-10440.298669373831;-12706.810260630878;-14923.991551875062;-23129.071072229275;-20265.320869126426;-31769.987257717523;
45617.02705824698;-187500.02235174447;-28974.633392647913;-14391.304778016183;787.0049222713617;-10897.123622551397;-34039.27046528703;-20577.21711125578;-44281.845603209214;-1213.2526890340673;-9702.914619793251;-12686.246655731995;-15119.748129814641;-23325.811126924888;-20351.46449225718;-31976.450321251195;
45669.84423039487;-187500.02235174447;-28907.891083704366;-14309.206820631842;-209.43584554622717;-10782.012138606566;-33984.66515358271;-20486.71489795624;-45114.58219463613;-1658.8347147506136;-10377.736136643427;-12730.65957196469;-14917.598952960845;-23122.522011103873;-20275.692078553686;-31779.37499038875;
45598.78803477145;-187500.02235174447;-28994.16881730185;-14408.985007880332;912.1523394766259;-10859.170360466285;-34060.191698097195;-20584.146152036927;-44414.190282129086;-1261.0854221684244;-9775.110754383893;-12673.394402670194;-15113.713158811708;-23322.36895827877;-20347.97762012215;-31993.437647037226;
45674.53809673049;-187500.02235174447;-28892.6695457303;-14312.134899155486;-344.6191960119243;-10842.473607358172;-33973.73515054407;-20473.795589661073;-44974.68262609037;-1585.2751237481982;-10290.98901641238;-12746.037572149942;-14941.247098594558;-23144.784348581357;-20299.139058487304;-31800.229167965554;
45606.5664418419;-187500.02235174447;-29000.60611970498;-14406.90629564599;978.7605379534409;-10802.575743505447;-34063.03036964302;-20580.391058968435;-44571.63597007227;-1336.1202283048904;-9890.445755773277;-12657.971698996033;-15090.154420155815;-23289.578949162835;-20317.221619751646;-31953.0927482954;
45692.285381828;-187500.02235174447;-28869.446083241237;-14295.818125703112;-443.4586099932921;-10878.750488609134;-33940.27458909447;-20458.39523773137;-44856.01721477714;-1531.1391986774445;-10206.700588071417;-12759.895653712232;-14945.67274399671;-23142.504470646916;-20298.423802664736;-31820.12222053078;
45594.69766553613;-187500.02235174447;-29014.732422200734;-14420.652618486003;1014.2327564040132;-10761.962623830155;-34088.6454687888;-20598.808896399605;-44751.14282979284;-1415.8265490325152;-10000.17046930438;-12675.36135618226;-15077.436277560744;-23275.78792283391;-20305.6434161238;-31953.9421145847;
45670.93946587318;-187500.02235174447;-28865.266307028094;-14308.312750853629;-473.32054058558236;-10923.476329264204;-33933.099679124316;-20465.81601689053;-44709.61328859488;-1448.8177238485484;-10097.42290942942;-12763.963671203099;-14966.661032040243;-23162.419874956595;-20308.12445975834;-31830.739299147048;
45581.91246770769;-187500.02235174447;-29030.736271230733;-14427.246383100319;1008.6001168012759;-10714.196945929163;-34105.25281491909;-20606.252027303224;-44907.4485787688;-1485.4745847552522;-10120.489909707298;-12669.236978201507;-15056.716210450675;-23252.005666733465;-20289.237235693603;-31921.39797465777;
45677.153250831754;-187500.02235174447;-28856.258554012606;-14308.536268298181;-454.1650955873842;-10959.082658181509;-33923.3543185418;-20461.81505463303;-44552.79344949644;-1364.3057780630324;-9993.330835501056;-12775.027784708474;-14996.791183565998;-23194.069945105308;-20336.667637427767;-31873.766407223513;
45572.12240363627;-187500.02235174447;-29038.604085279;-14419.75854870779;953.2348457854803;-10684.15620138123;-34103.08469570693;-20602.161658067904;-45046.90111242546;-1551.6804518318716;-10233.276812228778;-12685.263178975962;-15035.951439851695;-23234.45954733605;-20286.91265427025;-31904.053020960455;
45669.48660248359;-187500.02235174447;-28853.755158633612;-14306.122279897008;-386.90869652136524;-10977.388736890405;-33912.066687591876;-20454.05899930704;-44411.86570070573;-1292.2214021946672;-9892.09978486297;-12771.295043384438;-15016.30425647548;-23210.721994724514;-20339.662771184776;-31883.98115443959;
45569.55195302391;-187500.02235174447;-29038.08999515653;-14412.874211415556;851.2438358359142;-10650.226253298075;-34095.66391654777;-20597.08781207655;-45188.499413549835;-1623.7201242113263;-10341.61571760365;-12681.351623696282;-15015.991332053107;-23212.01839590292;-20272.09344769638;-31877.432093314183;
45646.71017488363;-187500.02235174447;-28868.596716951935;-14322.59551556057;-268.26563695259534;-10986.374138161438;-33908.6021672013;-20469.05701983655;-44305.694914543026;-1229.7035729531733;-9805.106795442915;-12760.85677872381;-15057.36441103988;-23253.100902211776;-20358.438236527236;-31920.012166501543;
45541.880493388235;-187500.02235174447;-29037.151221889406;-14414.304723060695;703.6999706864323;-10651.67911668767;-34114.41703014577;-20593.712698663796;-45283.717844929444;-1669.720014300348;-10424.563041277295;-12704.709196652078;-15004.189610980704;-23200.082564363787;-20273.948642486175;-31865.473910030596;
45580.50430780701;-187500.02235174447;-28900.827932456486;-14364.169760247441;-120.2747369140073;-11030.89881311641;-33958.692426525646;-20512.978197691227;-44221.38413445761;-1178.4733746616096;-9736.375181242845;-12773.19494166314;-15090.333234111456;-23287.924920073143;-20377.057239658505;-31956.199640774685;
45541.5005137325;-187500.02235174447;-29029.194000863317;-14415.399958539005;525.7800848221881;-10665.403087783228;-34098.83786426042;-20598.31715802159;-45333.60693855369;-1695.0445407682112;-10487.662015874626;-12734.772292944466;-14990.73386081861;-23192.795895671356;-20288.432572893213;-31863.30579081843;
45609.561575598906;-187500.02235174447;-28908.069897660007;-14360.861702068056;32.11945678227625;-11019.208850766285;-33974.562165088915;-20522.522392573643;-44187.16361369653;-1145.7057172901293;-9701.864087803851;-12765.930624715165;-15100.503277838621;-23299.79369637891;-20377.213701869692;-31966.302629268484;
45569.06021464589;-187500.02235174447;-29013.92775940034;-14392.221199538852;327.5871667369803;-10685.16202988172;-34077.13432039432;-20580.189893268336;-45403.32202950979;-1718.2903550017304;-10533.326629796818;-12754.039496664942;-14975.892302500286;-23173.01460182841;-20284.63277633581;-31845.089119087355;
45592.21662190159;-187500.02235174447;-28929.30405489255;-14390.187190793418;240.77299127256768;-11008.32355121655;-33994.5222728875;-20550.238555698223;-44191.097520720665;-1112.4463215406324;-9663.352032107357;-12763.918967714188;-15133.159176487825;-23329.096833359818;-20389.775382253574;-32002.42304830826;
45599.704456294116;-187500.02235174447;-28987.239776520706;-14382.766411634257;139.541940634482;-10708.541954581971;-34075.81556747146;-20564.946003549816;-45360.69725283352;-1685.7462150748033;-10513.277115020408;-12759.359211845305;-14962.995345949574;-23160.07294178879;-20289.952491516175;-31834.561447448905;
45609.27100292099;-187500.02235174447;-28949.040645246583;-14401.474821743348;418.0223248031527;-10983.13313521542;-34023.69129940168;-20567.53880590663;-44239.198474788485;-1121.498778045032;-9680.093488704382;-12750.865548952288;-15124.441996150255;-23324.537077490935;-20379.493579804133;-32003.29476634202;
45627.13004674078;-187500.02235174447;-28950.53821212509;-14350.89282404099;-60.97555887407767;-10724.881079778801;-34030.285064015996;-20530.569020577554;-45355.91397952008;-1680.76177606127;-10506.146908539165;-12772.524389329481;-14939.660124738233;-23140.693979346037;-20286.77854380352;-31817.64117689624;
45589.37795035577;-187500.02235174447;-28968.821939089532;-14417.791595195724;596.4115973009583;-10930.383018300894;-34051.29570380398;-20579.631099656952;-44366.46930771701;-1167.4092611562326;-9724.908736337273;-12733.587650488336;-15127.504185140633;-23323.061862356888;-20362.55095750701;-31998.28797558403;
45636.74129685656;-187500.02235174447;-28917.278816375594;-14344.343762915583;-226.33376435443932;-10752.932519070211;-33995.192825221166;-20496.86258993895;-45294.37962703462;-1644.2166738768428;-10453.665012558105;-12772.569092818392;-14940.129511371793;-23132.446185642028;-20288.54433161549;-31812.768496604982;
45565.32747332186;-187500.02235174447;-28989.83257887752;-14428.118101134074;767.9388842509848;-10876.001224041132;-34070.71936973564;-20584.079096803558;-44490.0521028104;-1207.4188837312322;-9777.41298406279;-12708.441937976115;-15119.301094925535;-23309.13672556123;-20344.848375898408;-31991.627155736347;
45627.8676543078;-187500.02235174447;-28896.24582484315;-14327.892878996478;-346.00500416815333;-10794.32794980144;-33991.057752496934;-20476.47779899571;-45186.37599782658;-1576.5579434106285;-10358.021898033847;-12759.694488012134;-14944.957488174141;-23109.781516764346;-20288.052593237473;-31808.923996558668;
45538.21480729757;-187500.02235174447;-29010.351480287492;-14434.555403537202;892.5275078448664;-10836.259822399596;-34110.37136439936;-20594.98674809775;-44636.143104570285;-1255.6986517546954;-9848.37977270839;-12693.935655824622;-15111.299170410535;-23278.17955949063;-20332.130233303338;-31981.837091664922;
45626.191273473654;-187500.02235174447;-28881.538376991557;-14314.705349767846;-435.90372036739836;-10835.611621810393;-33972.68461855467;-20456.182415030293;-45054.81362996264;-1504.0041809087015;-10255.114466561612;-12764.298947369927;-14954.792255734475;-23120.353891891707;-20298.40145092028;-31816.501237929016;
45526.25662401398;-187500.02235174447;-29012.586654733022;-14423.692455731923;969.2163430710249;-10766.902359354777;-34111.37719289985;-20578.625271156463;-44784.491632520156;-1311.8015303375162;-9937.987916229715;-12676.121315493741;-15098.983359215661;-23265.237899451007;-20313.243009238602;-31959.105367553875;
45627.44297116315;-187500.02235174447;-28863.500519216126;-14303.082442651088;-474.32636908607117;-10873.7660495956;-33960.4135108487;-20440.67030437831;-44902.17356707735;-1425.9742410152246;-10144.048648363192;-12751.7596187305;-14968.225654152115;-23130.61334259669;-20296.54625613049;-31820.166924019686;
45564.94749366611;-187500.02235174447;-29016.27469256815;-14421.658446986492;989.9364101810945;-10713.012303473033;-34121.41312616028;-20577.999422311714;-44945.93828272084;-1397.2075459012444;-10049.031382683681;-12643.353658122262;-15065.969832655173;-23230.83856473429;-20275.513264598045;-31909.88682626329;
45661.7305471576;-187500.02235174447;-28864.19342329424;-14321.142652170975;-484.96579944679735;-10940.217785861229;-33982.22881343708;-20453.6790196513;-44758.138925807354;-1355.1862663252673;-10031.46291154181;-12757.168740888685;-14991.002081752073;-23158.19539525454;-20311.857201082374;-31842.339854519352;
45556.63264472874;-187500.02235174447;-29036.74889048921;-14437.148205894018;958.018119098916;-10711.805309272446;-34173.13506282986;-20599.12182082198;-45103.60748810858;-1467.704947913283;-10156.096238624601;-12661.212701942051;-15057.543224995521;-23229.11748041123;-20281.704697812165;-31907.048154717468;
45652.007538319536;-187500.02235174447;-28867.345019262437;-14330.262163908741;-445.2467495497167;-10982.663748581857;-33990.63306935228;-20459.311659254035;-44626.80007538797;-1294.3224661734662;-9933.115235938458;-12754.218310620585;-15008.190573238204;-23182.62585194419;-20326.96698033416;-31868.64785774325;
45562.89113317623;-187500.02235174447;-29051.769262763177;-14439.67395301747;886.7831095198524;-10691.129945651288;-34191.79876945004;-20607.056690103615;-45248.759716601344;-1543.1420854499443;-10267.765553923316;-12684.994958042498;-15046.970849868161;-23221.8308117188;-20287.91848277074;-31903.002488971055;
45651.784020874984;-187500.02235174447;-28875.52575773308;-14339.113454713042;-340.12649537640755;-11010.536373917625;-34002.25597646904;-20476.902482140362;-44477.244553237506;-1216.0466570909807;-9828.531423632077;-12761.013240934997;-15056.4032860283;-23229.87743972271;-20357.745332449118;-31910.69148906368;
45574.13406063725;-187500.02235174447;-29034.98310267724;-14424.295952832217;781.7522623243646;-10665.78306743897;-34179.55001348854;-20599.83707664455;-45333.15990366458;-1602.7541879122482;-10359.944148057002;-12671.561559624859;-15021.713378633665;-23195.478105005994;-20275.133284942305;-31873.811110712424;
45659.763593645526;-187500.02235174447;-28880.733714191167;-14345.953088516366;-197.94704889619933;-11013.75502511919;-34017.276348743006;-20489.218293335234;-44349.102002275235;-1163.9670925101152;-9750.814408160973;-12729.072598108363;-15067.31093732249;-23239.868669494233;-20352.224451568658;-31921.330919424407;
