Año;Mes;Dia; Hora
2020;09;20;11-04-54
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-2;-2;1;2;1;-2;-4;0;
0;0;3;8;2;-1;0;-2;
-2;-3;-3;-4;-1;-4;-3;-3;
-2;0;-1;-1;-2;-1;-1;-2;
-2;-1;2;4;2;0;-2;0;
-2;0;-2;-8;-1;-1;0;0;
-1;0;-2;4;-2;-1;1;0;
0;1;-1;-10;-2;-3;-3;-1;
-1;-2;-2;13;1;0;-1;-1;
0;-2;-5;0;7;2;1;0;
-1;2;4;4;-7;0;0;-3;
-1;-2;-1;3;-2;-2;-1;0;
-1;0;-3;-7;-2;0;-2;0;
-1;-1;-2;-10;-2;0;-1;-1;
-1;-1;3;10;-1;-4;-2;0;
-2;0;0;4;0;0;-1;-2;
0;0;-1;-1;-1;-2;0;-2;
0;1;2;2;-4;-2;-1;-2;
-1;-3;-5;-9;2;1;-1;-1;
0;-2;-3;-4;-5;-1;0;-1;
-2;-2;-2;-6;2;-1;0;1;
0;1;2;16;-3;-3;-2;-1;
2;1;3;-1;6;-2;-2;-1;
-1;1;2;-1;-2;-3;-1;0;
-2;-2;-2;-10;0;-2;-2;-1;
0;-1;3;4;-5;-1;0;0;
0;-2;-4;-3;0;-1;-2;-1;
0;-2;0;4;3;0;-2;0;
-1;0;0;-2;-6;-2;-1;-3;
-1;-1;-3;2;0;0;0;0;
1;-1;-2;-7;-3;-4;-3;-1;
1;0;2;-2;-2;-2;-1;0;
-1;-1;-2;0;3;-1;-2;0;
-1;-1;-1;1;-2;-1;-1;-1;
0;-1;0;-5;-2;1;1;-1;
-1;0;-3;2;2;2;-1;-1;
-1;-3;-2;-14;-4;-2;-2;-1;
-1;-2;-1;6;4;2;0;0;
-2;0;2;3;-3;1;-1;1;
-3;-3;-5;-6;-6;0;-1;0;
-2;1;4;8;7;0;-2;0;
-3;-3;-4;-15;-6;-4;-2;-2;
0;0;0;11;3;1;1;0;
-2;-4;-3;-5;-4;-2;0;0;
0;0;-3;1;-3;-1;1;1;
-1;-1;3;0;0;-1;-2;-2;
0;-2;-2;1;-2;-2;-1;-1;
-2;1;3;0;1;-2;-1;-1;
-1;-3;-2;2;-1;2;0;-2;
1;-1;-3;-1;-3;2;0;-1;
-2;-3;-6;-9;1;-2;-2;-1;
0;-1;2;2;-3;-2;-1;-1;
-1;0;0;-15;-3;0;0;0;
-1;1;-2;7;-6;0;-3;0;
-1;1;0;1;6;-1;1;0;
-1;-3;-5;-3;-1;1;-2;-2;
-2;-2;1;0;-2;-4;-1;-2;
-1;-4;-7;-8;-2;1;0;-2;
1;-1;4;4;-2;-3;-5;0;
1;0;4;7;2;1;1;0;
0;0;-4;-7;-2;0;-1;-1;
0;-2;-2;1;-3;-1;-2;-1;
-1;-1;-2;-3;0;-1;1;-1;
-1;0;-1;2;-2;-1;-2;-2;
0;0;1;-4;1;-3;-2;-1;
-2;-2;-1;-2;-4;0;-1;-1;
-3;-2;-2;-2;-1;-2;-1;0;
-1;-1;-2;-1;-6;2;-1;-1;
-2;-2;-1;0;6;0;-2;-2;
0;-1;-4;-2;-3;-3;0;-1;
-2;-2;0;-7;4;-2;0;-1;
-1;-1;-4;-6;-1;0;-1;-1;
0;0;3;1;-5;-3;-2;-2;
-1;-2;-2;-5;3;-1;-1;-1;
-1;0;1;-2;-10;-3;0;-1;
0;-2;-2;-3;6;2;1;-1;
-1;0;0;2;-5;-5;-3;-1;
0;-1;-3;-2;0;1;-1;-1;
0;-1;3;4;-1;-3;-2;-1;
-2;-2;-4;-6;0;1;0;-1;
-1;-1;3;-8;-5;-4;-2;-1;
-1;-1;-1;19;-1;-1;0;-2;
0;-2;-2;6;10;2;-3;-1;
-2;-1;-2;-7;-5;-3;-1;-1;
-1;-1;-1;-1;3;2;1;0;
-2;0;-1;-4;-2;-2;-2;-1;
-1;-1;-6;-6;-3;-1;-2;-2;
-1;2;6;11;-3;-3;-1;-1;
-1;-1;-3;-5;-1;-3;-2;0;
-1;-1;3;3;1;-1;0;0;
-1;-2;-4;-3;-2;1;0;-2;
0;1;2;-2;4;0;1;0;
0;-1;-1;-3;-9;1;0;-1;
-4;-1;-5;8;5;3;0;-2;
0;-2;1;0;-2;-4;0;1;
1;0;0;10;3;-2;-1;1;
-1;-3;-3;-5;2;0;-2;0;
2;-1;2;-2;-5;-3;0;0;
-2;-1;-5;0;0;-4;-3;-3;
-1;0;2;-6;1;-1;-1;-2;
