Año;Mes;Dia; Hora
2020;07;02;19-21-40
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
-13844.916384806203;93124.11762763473;-40001.575946995734;-14249.594718169537;-19412.780632112102;-9831.459502155722;850.8862079246293;-3579.855391961979;31409.967709775894;122.44285612617209;-7240.020601751877;20011.785031769876;-2959.438021116021;-2296.7087980161664;-46891.67998929977;-35077.39723651377;
-13641.180234096078;93265.22419038108;-39988.500176489375;-14333.346704643573;-19483.18862714632;-9883.494363247677;565.6332451860005;-4009.1206442261514;31388.912366498993;118.7101148021358;-7261.098296773232;19831.6299714601;-2998.9782570574594;-2312.891461001809;-46891.59058232196;-35096.61973674533;
-13840.468387659597;93124.58701426828;-40003.609955741165;-14263.475151476283;-19419.284989748598;-9836.846272569452;840.8279229197411;-3598.7426160267137;31440.41078572402;147.05212677146517;-7238.81360755129;20031.05223549035;-2959.3486141382;-2309.3151818889596;-46909.248460441646;-35107.25916710606;
-13650.947946423048;93254.763573976;-39992.29997304678;-14333.056131965654;-19484.194455646808;-9884.366081281434;580.9665418823412;-3984.846649747688;31353.86483119307;94.07849241238743;-7262.48410492946;19834.7815674283;-3013.752760142417;-2316.2218709256495;-46883.722768273685;-35085.66738196223;
-13828.130224720268;93143.20601739956;-39988.09784508918;-14264.033945087665;-19411.439527444785;-9818.473138627189;830.1884925590149;-3623.8883285389343;31456.90637313204;169.0015398265767;-7241.898148286123;20044.44093041908;-2952.5536838237863;-2300.8215189959433;-46920.33492569148;-35131.823734262434;
-13673.567911811819;93254.45064955362;-39998.4914062609;-14320.315637626129;-19478.785333488624;-9887.025938871615;597.0374461457069;-3943.0265358718084;31343.739490954817;82.18736436216408;-7255.219787981486;19828.97011386992;-3013.439835720043;-2301.2238503961385;-46862.66742499679;-35057.57123918191;
-13812.819279768382;93153.95720648256;-39984.029827598315;-14273.801657414635;-19414.814640857538;-9823.882260785373;798.1584427545599;-3675.856134397523;31477.782902453295;190.8391941594117;-7254.929215303567;20039.121215238716;-2958.342785637711;-2300.4638910846584;-46930.348507207455;-35151.113289727364;
-13686.308406151344;93244.8617511823;-39995.429217270525;-14313.207782889342;-19471.744533985202;-9887.875305160916;618.5845278006229;-3897.1607562495183;31332.496563493798;76.64413173724792;-7255.9126920596;19823.87391613411;-3018.4913299669424;-2305.0012952090856;-46855.22429409317;-35039.354567450835;
-13807.678378543662;93166.56359035535;-39984.655676443064;-14295.572256514104;-19428.56096369755;-9844.401162195345;754.1925614109709;-3738.97746073931;31483.504949033853;206.75363621159033;-7261.970014806988;20017.82000277281;-2950.4973233338983;-2304.621315553345;-46939.06568754503;-35167.67593236875;
-13733.604697418774;93212.98816358902;-40017.646851259095;-14325.277724895208;-19478.27124336615;-9900.146412866881;638.0081937322848;-3856.614691807591;31308.759010882262;44.122343554776144;-7267.356785220717;19838.938991896986;-3033.757571429917;-2312.2656121570603;-46862.9132941858;-35045.34483496485;
