Año;Mes;Dia; Hora
2020;09;12;17-06-14
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
-35353.77655670363;8739.621489002882;-64293.92120765701;-78316.91394053864;-14766.188236020595;-76781.23733773678;-71241.67039891129;-17666.34943084114;-39971.95988559245;-76728.24135163325;-97338.27082374941;-18600.138258950505;-45876.687273584284;-13688.208304430045;-187500.02235174447;-14474.229749945373;
-35343.47240250974;8696.057939059488;-64282.14183832906;-78307.12387646722;-14849.470835861068;-76797.04002106667;-71233.93669532976;-17675.93832921247;-39978.6877606735;-76733.24814239122;-97160.50740009635;-18476.175484201372;-45880.79999456406;-13683.3803276277;-187500.02235174447;-14344.947260015877;
-35357.218725349754;8734.0112011446;-64290.791963433265;-78318.29974869487;-14778.816971637843;-76795.76597163272;-71248.6664949258;-17655.620593502594;-39976.87726937262;-76728.97895920026;-97342.51765519592;-18621.64063711651;-45873.043939238065;-13689.728223053005;-187500.02235174447;-14510.976017829898;
-35363.34310333051;8763.202579403232;-64291.75308844484;-78321.85367606327;-14858.74680981002;-76819.79409692218;-71249.98524784866;-17678.151151913542;-39976.22906878341;-76739.10429943852;-97146.47050457842;-18472.93448125535;-45883.63866610988;-13676.048955446358;-187500.02235174447;-14370.629414395025;
-35368.394597577404;8767.158838171821;-64303.08542288368;-78333.27541747993;-14799.40292828118;-76817.64832945446;-71266.05615211203;-17673.814913489212;-39993.6410777141;-76744.82634601908;-97283.44199460054;-18588.448296600378;-45886.253820211154;-13698.355996412754;-187500.02235174447;-14499.86720083561;
-35355.16236485987;8792.058681495033;-64293.11654485662;-78323.99944353098;-14864.647670346221;-76829.29358831568;-71254.09796882844;-17674.843093734158;-39987.24847879988;-76752.87297402299;-97091.64167542955;-18449.286335621637;-45889.11484350143;-13701.351130169765;-187500.02235174447;-14354.044420009188;
-35383.81730125157;8724.422302773273;-64309.96976017592;-78342.3949292177;-14811.986960409518;-76831.01467263875;-71272.42639928179;-17669.612785531615;-39998.089074860705;-76745.31808439709;-97274.56835205178;-18610.420061399946;-45869.624122336405;-13720.640685634695;-187500.02235174447;-14525.817576148222;
-35378.58699304903;8824.915745844335;-64301.833725194185;-78337.87987683772;-14859.752638310509;-76845.16332687894;-71271.59938473694;-17666.729410496882;-39987.471996244436;-76759.08675898156;-97100.15769006702;-18471.727487054766;-45883.66101785434;-13709.420109918132;-187500.02235174447;-14388.220237281352;
-35376.37417034795;8708.127881065355;-64300.67143448251;-78335.71175762556;-14820.03358841343;-76840.87179194353;-71269.31950680251;-17638.521508994283;-40005.80042669779;-76746.8603547645;-97231.60829920869;-18595.936130992905;-45876.08377648399;-13716.595019888286;-187500.02235174447;-14517.927410355498;
-35380.084559927534;8836.717466916736;-64298.48096352589;-78335.73410937001;-14849.962574239085;-76856.89799271799;-71269.83359692497;-17643.528299752274;-39972.04929257027;-76753.43176763436;-97115.33452455218;-18496.403812933422;-45881.850526553455;-13699.09360397978;-187500.02235174447;-14426.598182511114;
-35389.651106554404;8726.143387096332;-64314.26129511134;-78350.06157756587;-14843.100588691306;-76859.73666426381;-71280.80830345253;-17648.31157306571;-40004.41461854155;-76758.08093048107;-97210.08356929822;-18584.693203531886;-45881.6270091089;-13723.188784502601;-187500.02235174447;-14521.526041212803;
-35395.1049322015;8894.295560633607;-64317.077614912705;-78354.95660960158;-14857.450408631614;-76878.17685343944;-71283.60227150944;-17655.195910357943;-39984.521565976334;-76774.17418648889;-97090.5687916957;-18481.65166159292;-45895.03805578209;-13718.405511189165;-187500.02235174447;-14422.083130131143;
-35387.39358036442;8708.86548863238;-64312.473155554915;-78350.03922582141;-14854.254109174504;-76866.17396666695;-71277.74611446216;-17659.64390750455;-40013.91410993506;-76765.03232300667;-97158.07105995073;-18571.304508603156;-45891.48412841369;-13736.063389308858;-187500.02235174447;-14498.950779312943;
-35405.4090863954;8882.717357005758;-64327.426472595514;-78364.36669401726;-14857.897443520718;-76889.46448438936;-71293.83937046997;-17666.505893052326;-39990.0871503457;-76786.84762559505;-97109.76894018281;-18520.834269623076;-45910.527814689616;-13730.140177028201;-187500.02235174447;-14454.67197354698;
-35396.513092102185;8683.183334253232;-64315.28947535628;-78355.11307181277;-14870.79440007143;-76881.70842906338;-71287.1785506223;-17674.50781756733;-40018.76443848186;-76771.35786668753;-97145.59878654467;-18579.6864127739;-45883.7280730877;-13736.778645131428;-187500.02235174447;-14509.456099206936;
-35422.08348775905;8865.37240330844;-64332.70148428697;-78372.56978423236;-14851.393085884225;-76896.7511530818;-71301.64012928488;-17678.084096680177;-39993.462263758454;-76785.28300348319;-97142.11191440963;-18555.63593573999;-45899.262535484144;-13736.465720709053;-187500.02235174447;-14505.499840438348;
-35411.600519609514;8702.852869373903;-64329.54988831877;-78368.7476359305;-14889.659272391711;-76894.62773735855;-71293.50409430315;-17677.1229716686;-40022.92186295055;-76784.63480289398;-97111.04298961676;-18553.512520016735;-45901.11773027393;-13754.190654062111;-187500.02235174447;-14501.230657247384;
-35424.69864186033;8888.573514053049;-64340.144615190584;-78381.19755759211;-14849.023800971961;-76905.49068516382;-71309.19501891077;-17666.282375607774;-39993.261098058356;-76791.74265763076;-97128.70086773645;-18550.316220559624;-45905.23045125371;-13752.447217994597;-187500.02235174447;-14509.34434048466;
-35420.429458669365;8711.145366566821;-64334.15434767656;-78378.22477557955;-14910.04406333495;-76910.98921429983;-71302.86947522992;-17681.615672304117;-40029.06859267576;-76794.89425359896;-97062.02561402626;-18524.81288013612;-45911.69010540129;-13779.314014829877;-187500.02235174447;-14471.34637491064;
-35434.77927860967;8872.502609789683;-64352.97451650793;-78397.38022057775;-14860.087914477339;-76923.57324642816;-71319.81209752704;-17687.36007062913;-40008.68380173252;-76805.13135255949;-97146.73872551188;-18576.15483714996;-45913.76881763564;-13774.776610705449;-187500.02235174447;-14532.768968673823;
-35427.87258957298;8709.20076479921;-64343.05034196977;-78389.64651699622;-14926.33848504287;-76924.91435109549;-71304.85878048644;-17702.894533025566;-40036.10939217918;-76803.36556474752;-97048.43575339744;-18520.990731834263;-45914.640535669394;-13778.956386918591;-187500.02235174447;-14462.517435850792;
-35450.693720661846;8867.451115542784;-64362.20578696797;-78408.77961024996;-14862.837179045342;-76934.16797329998;-71324.99770224068;-17699.139439957078;-40018.16094138157;-76813.75912591924;-97152.61723430363;-18579.4852470738;-45926.263442786156;-13776.564750261874;-187500.02235174447;-14537.328724542705;
-35431.49357217474;8736.939279668246;-64344.905536759565;-78390.36177281878;-14936.888508425774;-76934.16797329998;-71310.02203345562;-17713.46690815293;-40036.534075323834;-76810.09343982858;-97000.80418596318;-18481.22697844827;-45925.03409684111;-13774.798962449904;-187500.02235174447;-14415.981103894843;
-35453.53239220767;8848.988574622701;-64361.31171718976;-78407.75143000501;-14872.604891372312;-76939.912371625;-71331.36794941044;-17707.633102850094;-40024.73235425143;-76815.0331753532;-97153.42189710402;-18594.706785047863;-45930.71143993276;-13780.29749158591;-187500.02235174447;-14532.791320418279;
-35442.42357521338;8754.597157787939;-64345.97842049342;-78393.37925832024;-14941.045932894462;-76942.46047049291;-71316.57109458103;-17708.50482088385;-40031.03554618783;-76806.58421594909;-96997.67494173945;-18490.122972741483;-45922.01661133965;-13769.367488547265;-187500.02235174447;-14410.951961392399;
-35466.295238291656;8847.379249021918;-64372.733458606424;-78419.66490979969;-14877.522275152478;-76953.09990085363;-71342.70028384928;-17714.36097793114;-40028.17452289755;-76816.48603874279;-97143.92240571052;-18595.86907575954;-45931.784323666616;-13780.744526475017;-187500.02235174447;-14524.54352671427;
-35450.51490670621;8783.609722090927;-64347.83361528321;-78398.81073222289;-14961.184854648693;-76958.39726428954;-71323.12015570643;-17726.45327168146;-40039.01511895837;-76820.82227716711;-96941.32619396762;-18449.30868736609;-45933.32659403403;-13778.375241562753;-187500.02235174447;-14359.40883867846;
-35479.50511926474;8798.585390875984;-64376.30973771927;-78427.35390989232;-14899.069356807395;-76970.15428187302;-71355.91016482236;-17720.418300678528;-40042.345528882215;-76820.64346321148;-97150.31500462473;-18619.427814415434;-45931.11377133295;-13793.619131281273;-187500.02235174447;-14537.194614075974;
-35468.91039239292;8806.095577012966;-64364.619775369145;-78418.50261908802;-14975.937005989195;-76984.72761925789;-71348.77995834113;-17733.762292118347;-40051.95677899799;-76837.34021631959;-96948.18817951539;-18467.815931775087;-45948.50342851919;-13790.422831824164;-187500.02235174447;-14377.401992964984;
-35476.01824712971;8770.064564951012;-64370.47593241643;-78424.93992149114;-14908.054758078428;-76972.88119469657;-71352.2891822206;-17721.580591390204;-40059.3552064127;-76826.49962025876;-97122.04004788878;-18617.48321264782;-45931.985489366714;-13798.558866805895;-187500.02235174447;-14529.371503516615;
-35462.74131092326;8809.582449147994;-64356.61785085414;-78412.24413064052;-14962.86123548284;-76980.27962211128;-71343.08026350502;-17728.84490833818;-40046.324139395256;-76832.71340521735;-96954.91605459644;-18486.300824439626;-45939.00393712568;-13783.270273598466;-187500.02235174447;-14396.8480106411;
