Año;Mes;Dia; Hora
2020;11;29;18-45-17
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
2;0;-1;-1;2;2;1;6;
-2;0;-1;-4;-3;31;-6;-14;
0;0;0;0;-1;-3;-14;-4;
-1;-1;-2;-2;-2;-8;3;0;
-4;0;0;1;1;2;-1;1;
1;-1;1;-1;-3;-6;14;2;
-3;-3;-1;-3;-3;-5;-7;0;
-1;-1;-2;-1;2;45;9;-4;
-2;0;-2;1;-2;-57;-6;-5;
0;-1;1;-2;-3;-7;6;1;
0;-1;-1;-1;1;17;7;3;
-1;-1;1;-2;0;-5;-11;-4;
-2;-2;-2;0;-3;22;-5;-5;
-1;-1;-1;1;1;-27;4;1;
0;-2;-1;-3;-2;-14;2;0;
-2;-2;-1;-3;-2;23;-1;-2;
1;1;1;1;0;-3;-1;6;
-1;0;1;1;-1;5;-3;-3;
0;-1;-1;0;-1;0;1;4;
-2;-1;-3;-1;-1;1;3;-6;
0;-2;-1;-1;0;16;1;-4;
2;-2;-2;-1;-1;-19;-4;4;
-5;-1;0;-1;0;-6;-6;-12;
3;-1;0;-2;-3;-1;-3;14;
-2;-1;0;-1;1;-3;-3;-4;
-3;0;-3;-2;-2;20;2;-2;
-2;0;0;0;0;-10;7;4;
-2;-1;-3;-2;-2;-10;4;-2;
1;0;-3;-1;-4;6;-13;-1;
-2;0;0;-2;-1;-11;0;-4;
-1;-1;-2;-1;-1;-14;-11;1;
0;-1;-2;-1;1;0;5;-2;
0;-1;-2;-1;1;24;0;-1;
-4;0;0;-1;-2;-19;-10;-4;
2;0;-2;-1;1;0;2;0;
2;-1;-1;-1;1;4;-1;-2;
-2;-3;0;1;1;-7;1;3;
2;0;-1;2;1;6;2;22;
-4;-3;-3;-4;-1;11;10;-29;
-2;-1;0;2;-1;-19;-12;-4;
0;0;0;-1;0;7;3;5;
1;-2;0;-3;-1;12;-1;-4;
-1;-1;3;1;1;7;-2;10;
-3;-2;-3;-2;-4;-4;1;-2;
-2;-1;0;-2;-4;-10;-7;-7;
0;-1;-1;0;-1;12;13;2;
-3;-2;-2;-1;-2;22;-9;-10;
4;0;0;1;0;-32;3;4;
-1;-2;-4;-1;-1;-6;-1;6;
-3;-2;-3;-1;0;17;-5;-13;
0;-1;-1;-3;-1;-26;0;4;
0;-3;0;1;1;11;-16;-5;
-5;-1;-1;-1;1;3;1;-4;
0;0;2;1;-1;-5;9;-2;
0;1;0;0;0;-8;-13;1;
0;0;1;-2;0;12;0;0;
2;-1;1;-1;-2;-8;5;3;
-3;-4;-4;-1;-3;-5;2;3;
2;0;-1;1;1;-1;7;-5;
-2;-1;-1;-2;-2;-7;-4;0;
-1;-1;0;1;0;4;0;-6;
1;0;-3;-3;0;-5;7;6;
0;-3;-4;0;-2;-9;0;6;
-2;-1;-1;0;1;30;11;-3;
-3;-3;-2;-2;-4;-7;-1;2;
-2;-1;1;-1;-1;-17;-13;-9;
-1;-1;1;-1;-3;-12;-5;2;
-1;0;-1;1;0;5;0;-2;
-6;0;0;1;0;13;-3;-4;
0;1;-1;-1;-1;3;0;2;
-2;-2;-1;-2;-4;-5;11;2;
-2;1;0;1;2;6;-10;-5;
1;-3;-2;-3;-6;-8;2;1;
-2;-1;1;1;1;7;13;-2;
0;-1;0;-2;-2;-7;-19;24;
-5;-2;-3;-4;1;0;0;-32;
-1;0;-1;-2;-1;-6;-6;-7;
-1;-1;-3;-4;-1;6;5;4;
0;-2;0;-1;-3;3;3;-1;
-3;-2;1;1;2;2;1;5;
1;-2;-1;-3;1;-1;-5;2;
-1;-2;-1;-1;-3;-18;-4;-3;
-2;0;1;1;1;0;-4;-10;
1;-1;-1;-1;-2;-1;0;7;
-3;0;2;1;1;8;1;-9;
5;-1;-3;-2;-3;-2;1;11;
-4;0;1;0;0;0;4;-10;
-4;-3;-4;-4;-6;2;-12;-1;
1;-1;0;0;1;1;0;4;
0;-1;-1;-2;-4;12;-1;-3;
-1;0;-2;-2;0;-6;-2;-6;
0;1;0;1;1;19;-4;0;
-3;-3;-2;1;-1;-8;-4;5;
0;1;-2;-1;-1;0;8;-9;
-1;0;-1;0;1;4;-2;1;
-3;-1;-2;-2;-2;5;-6;-7;
2;0;1;-1;1;-2;-6;3;
2;0;-2;-2;-2;-9;4;10;
0;0;0;1;0;0;-4;2;
-1;-3;-1;1;3;8;5;1;
-3;0;-2;-2;-3;-31;3;-4;
-1;-2;-3;0;2;-2;-7;-7;
-1;-1;1;-2;-1;1;-1;-2;
2;0;-1;1;-3;-10;-5;-1;
-1;-1;-1;-2;-1;6;-6;0;
0;-1;-1;-2;-3;-10;-1;-5;
1;-1;-1;-1;-3;3;10;0;
-1;-4;-3;-2;-1;-13;-9;4;
-3;-1;-1;1;-1;6;-2;-3;
-1;-1;-1;-1;-2;-2;-1;-3;
-1;-2;-2;-3;-3;-3;1;2;
0;0;-1;-3;-5;-15;1;-5;
-1;-1;-1;-2;-1;7;0;21;
-6;-3;-2;-1;-4;-11;-14;-37;
2;2;1;1;1;-5;6;5;
-1;1;-1;-1;-1;10;5;0;
-2;0;0;-2;-2;0;-17;-10;
-3;-1;-2;-1;3;20;5;12;
-2;-2;-1;-2;-2;-31;-6;-3;
0;-1;0;0;-1;5;-4;-6;
