Año;Mes;Dia; Hora
2020;10;12;19-33-04
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
1;-1;7;-11;-2;0;-1;0;
-1;-1;-1;4;-3;-2;-2;-1;
0;-1;-12;-19;-6;-1;-1;-1;
-2;3;23;13;5;0;-2;-2;
-1;-1;-22;-2;-3;-2;0;-2;
-3;-1;18;1;-3;-1;-2;0;
-1;-3;-10;-1;-3;-1;-2;-2;
0;0;-11;-10;-1;0;0;1;
-1;-1;-5;1;1;-1;-3;-2;
-2;-5;-5;-7;-6;-2;-2;-1;
0;2;15;17;6;0;-2;-1;
0;-2;-4;-9;-6;-1;-1;0;
1;-3;-30;-1;-1;1;1;0;
0;1;17;17;2;2;3;-2;
-2;-2;2;-13;-6;-3;-5;-2;
-1;-3;-32;-7;-4;-1;-1;-2;
-2;0;44;-7;-2;-2;0;-2;
-1;1;-10;11;3;-2;-1;-1;
0;-1;-13;-5;0;1;-1;0;
0;-2;-8;-3;-3;-2;-3;-1;
-1;-1;-47;-7;0;1;0;-1;
-2;5;19;15;-1;-1;1;0;
-2;-5;-7;-8;2;1;-2;1;
-3;-2;-26;-3;-1;-3;-1;-3;
0;-1;2;5;0;-1;-1;-2;
-1;-2;-44;-4;-2;-1;1;-1;
-2;2;51;4;-2;-3;-1;-3;
-1;-2;5;-1;-4;0;0;0;
1;0;-22;-1;1;0;0;1;
-1;-5;13;-11;-4;-3;-3;0;
-1;1;-12;-5;-4;1;0;-2;
-2;-2;12;6;-4;-4;-2;-2;
-1;-1;-3;-9;-2;-3;-3;-1;
-1;-3;-7;-15;-2;-2;1;0;
-1;-2;0;41;5;-2;0;1;
1;2;8;3;0;0;1;-1;
-1;-2;-23;-14;-6;0;-1;1;
0;0;22;0;-3;-3;-3;-2;
-2;-1;-17;-4;0;0;0;0;
-2;-1;16;4;3;0;0;0;
-2;-6;-8;4;0;-2;0;-1;
0;1;13;2;4;-1;0;0;
0;-1;-10;-20;-5;-3;-1;-1;
-1;-1;-27;-2;-3;-1;-1;0;
-2;-2;-13;0;1;-2;-2;-1;
-2;0;55;-3;-5;0;-1;0;
1;1;-7;-2;2;0;-2;0;
0;1;-4;-3;-3;-1;-1;-1;
0;-2;-3;10;3;2;0;-1;
-1;-1;-16;-8;-2;-1;-1;-3;
0;0;1;5;2;0;0;0;
-3;-2;6;-3;-2;0;0;-2;
1;0;-3;0;-2;-1;-1;-2;
0;-2;1;-12;-7;1;0;-1;
