Año;Mes;Dia; Hora
2020;11;29;18-51-40
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-1;-3;-5;-9;-5;6;1;0;
0;-2;-3;-12;-11;-3;-1;-2;
-2;-1;2;2;-3;-6;-2;-1;
-3;0;-2;2;0;7;-1;0;
-1;-2;-4;-14;1;0;-2;-1;
-1;1;1;19;-3;-2;0;0;
-1;-2;-7;-13;-8;-3;-3;-2;
-1;-1;2;0;0;-4;-1;-2;
-1;0;3;-3;-19;-4;-1;0;
-1;-2;-3;-6;7;-1;1;1;
-2;-1;-1;7;3;11;-1;-2;
-1;0;0;-4;-1;3;-1;-2;
-1;-3;-2;-7;1;-3;-3;0;
1;1;3;4;1;0;0;2;
-1;-2;-3;-5;-2;8;-1;-2;
-1;-1;-2;-2;-2;-6;-1;-1;
-1;-1;-2;-4;-3;0;-2;-2;
2;-1;1;8;2;-3;0;0;
1;1;4;10;8;-2;-2;1;
-1;-1;-1;5;13;4;0;1;
-1;-3;-8;-19;-20;-13;-4;-2;
0;0;4;17;23;4;0;-2;
-1;-1;-1;-8;-6;-6;-1;-1;
1;-1;1;7;7;10;1;0;
-2;0;-3;-13;-4;2;-2;-1;
0;0;-4;-9;-10;-7;0;0;
-2;-2;0;3;4;4;-1;-4;
-2;-1;-5;-11;2;1;1;-1;
-1;-1;1;3;-8;-7;-2;-1;
-1;0;-1;-3;-5;-5;-1;-1;
0;1;3;14;2;0;-2;1;
-1;-2;-3;-7;-15;-6;-2;-1;
0;-1;0;2;7;-2;0;-1;
-1;-2;-2;4;-1;7;0;0;
-1;-2;-1;-16;-5;-2;-1;-2;
1;1;2;-2;12;0;-1;0;
-4;-3;-11;-18;3;1;-3;-5;
0;1;4;0;-1;-7;1;0;
0;0;-1;5;1;-2;-1;-2;
-4;0;-3;-2;-6;0;1;-1;
-2;-3;-1;2;-4;-7;-2;-1;
0;1;2;-2;-5;-2;0;-2;
-2;-1;-2;-7;1;6;-1;-2;
0;-2;-5;-8;-11;0;-4;-3;
-1;-1;-1;1;-6;1;0;1;
2;-1;1;-1;-4;-9;-1;0;
0;-1;1;8;-5;2;-1;-1;
0;-2;2;9;7;4;1;0;
0;-2;-6;-16;-10;-2;-4;-1;
-3;0;-1;0;-6;1;-1;-2;
1;2;7;15;2;1;1;-1;
-1;-2;-2;-10;-1;-4;0;-2;
-1;0;-5;-1;0;-4;-2;-3;
0;0;2;13;-2;2;1;1;
-1;-1;-1;-6;-9;3;1;0;
-3;-1;0;3;-11;-10;-3;-3;
-3;-1;0;20;20;3;0;-1;
-2;-1;-1;-10;-2;-11;-2;0;
0;0;-2;2;3;-3;-2;0;
0;-1;-2;-3;-2;8;1;0;
-3;-2;-2;-3;-10;4;-2;-1;
1;-1;1;-1;-3;-2;1;1;
-2;-1;1;8;9;3;-1;0;
-1;-1;-2;-6;-3;-4;-3;0;
0;-1;0;-2;-3;1;1;0;
1;-3;-5;-1;-11;-6;-2;-1;
-1;-3;-4;-19;7;7;-2;0;
-2;0;1;2;14;0;-1;-2;
2;2;4;19;7;-8;0;0;
-4;-1;-3;-3;-7;2;-1;-3;
0;-3;-7;-14;-6;-8;-1;-1;
-1;1;4;7;8;5;0;0;
-1;-3;-5;-8;-3;2;-1;-2;
-1;-4;-5;-15;1;-8;-2;-1;
-2;1;4;16;-1;2;-2;-1;
0;-3;-7;-15;-7;6;0;-2;
-1;0;-3;-1;-2;0;-2;-1;
0;-1;-4;-2;-2;1;0;-1;
-2;-4;-7;-18;-3;-6;-3;-2;
-2;-2;-2;-11;-11;-6;-1;0;
0;-1;2;9;25;7;0;-1;
-1;-3;-1;-1;-3;-5;0;-1;
-2;-2;-5;-10;-6;-1;-2;-3;
2;2;2;-2;2;7;2;1;
0;-2;0;-3;-9;-1;-1;-2;
1;-1;2;9;19;-5;-3;0;
0;-1;0;2;2;-6;-2;-1;
-3;-3;-3;-5;-5;9;0;-1;
-1;-1;0;6;-6;0;-2;1;
0;1;2;2;-4;0;2;1;
