Año;Mes;Dia; Hora
2020;05;05;22-06-30
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-2;-1;-5;-5;-1;-2;-2;-1;
-2;-7;3;1;-4;-2;-1;0;
0;1;-6;1;0;0;-2;0;
-2;-4;1;0;-1;-1;-1;0;
-2;-8;-1;1;0;-1;2;-2;
0;-7;20;0;-3;-2;-4;-4;
-2;-5;14;-1;-1;-3;-2;1;
1;-8;1;4;-1;-1;1;-1;
0;-3;-10;-4;-1;-3;-3;0;
1;-4;6;4;0;1;1;-2;
-1;-5;-21;-1;2;-1;-1;-3;
-1;3;-1;0;-3;-1;-2;-1;
-2;4;13;9;3;2;0;0;
-1;-4;-13;-11;0;0;0;0;
-5;0;-7;-11;-6;-4;-1;-2;
1;0;-8;0;2;2;-1;1;
0;1;1;-13;-4;-1;0;-1;
-1;0;5;3;-2;-4;0;0;
2;1;-11;-3;0;1;1;0;
-2;-2;10;-6;0;0;-2;-2;
-1;-1;-19;6;-2;-2;-2;-1;
0;-1;19;0;0;1;0;-1;
-1;-1;4;-9;-5;-2;-2;0;
0;-2;5;4;-2;-3;0;-1;
-1;4;-15;4;-1;-1;-1;-2;
-2;1;-11;-22;-4;-5;-2;-2;
-1;-5;6;3;-1;-2;-2;-3;
-1;1;-21;-5;1;2;-1;-1;
0;-1;32;7;3;3;0;0;
-2;-9;-11;7;-1;-2;0;0;
-2;5;-18;-1;-3;-3;0;-2;
1;2;7;-7;-4;-4;-2;-1;
0;0;19;12;2;1;0;1;
-3;-10;-44;-14;-3;1;-2;-1;
-1;1;7;2;-2;-4;-3;0;
1;-1;6;-2;-4;-4;-2;-1;
0;-1;-22;5;0;1;-2;-3;
-2;-13;6;3;0;1;-1;-1;
-4;-2;-43;-4;-4;-2;-1;-2;
0;-4;10;-13;-4;-4;-2;0;
-4;-2;-2;5;2;2;-1;-2;
-2;-7;-18;-4;-1;-1;-1;-2;
-1;-5;9;1;-1;-1;-2;-2;
-3;-11;13;-4;-2;-2;-1;-3;
2;5;-27;-2;-1;-6;0;0;
-1;-5;16;1;0;3;-1;0;
0;4;0;-1;-3;-1;-1;-1;
0;-3;-2;-3;-3;-1;-3;-1;
1;3;33;22;1;1;0;1;
-2;-8;-41;-22;-3;-1;0;-1;
-2;-5;14;-10;-2;-2;-1;-1;
-2;-2;-4;-4;-2;0;0;-2;
2;4;29;3;0;1;0;-1;
-1;4;-4;9;0;2;-2;-1;
-2;-7;-12;-1;-2;-1;-2;-1;
-2;2;-9;-4;3;-1;-1;-1;
-2;-3;-3;-4;-3;-2;-1;0;
-1;-1;29;12;1;-1;-1;-1;
0;1;-1;-2;-1;-2;0;0;
-4;-5;5;-1;-7;-6;-4;-3;
0;0;-7;0;1;-1;-1;-1;
-1;-10;-9;-5;-1;-3;-1;-1;
0;-3;6;-1;2;1;1;-1;
0;-3;17;0;-4;0;-1;-1;
-2;-1;-18;-5;-3;0;0;-3;
1;-2;10;6;3;3;-1;1;
1;0;-1;1;-1;0;1;0;
-3;-5;6;-5;-1;-3;-3;-3;
0;-11;-3;-7;-4;-3;0;-1;
-2;-7;3;-5;-2;-1;-2;-1;
-1;4;-17;0;0;2;0;1;
-1;-5;15;9;0;-3;-2;1;
0;1;-30;-5;1;1;-1;0;
0;2;10;20;2;0;1;0;
-6;-15;-38;-34;-8;-3;-4;-3;
0;-3;11;1;1;3;2;0;
-2;1;15;4;0;-1;-1;0;
-1;-6;3;-7;-1;-1;-1;-1;
2;0;4;11;3;0;-1;-1;
0;1;-12;-5;-3;-3;-2;-1;
-1;-3;-5;-11;-5;-2;-1;-3;
-4;1;41;4;1;0;-2;-3;
-1;-1;-13;6;0;0;-3;-1;
-1;-6;10;-9;-3;-3;-2;-1;
1;10;13;15;4;0;0;1;
-3;0;-7;-7;-6;-2;-2;0;
-1;-2;7;-9;-2;0;2;0;
-2;0;-24;0;-1;1;0;0;
-1;13;17;-3;-2;-1;-2;0;
-1;0;-6;6;0;-3;-1;-1;
-1;-2;7;5;-2;-1;-1;-3;
0;5;3;-2;-2;-2;-1;-1;
1;0;-25;-6;0;-1;0;-1;
-2;-3;-11;-4;-3;-2;-1;-2;
1;3;19;7;3;0;2;1;
-2;0;-15;5;3;-1;-2;-2;
-2;-2;11;-12;-5;-4;-3;-1;
-1;2;-7;5;2;1;1;-1;
-3;-5;-17;-8;0;0;-1;-3;
0;0;15;8;2;1;-1;-2;
-1;-5;10;1;-3;-3;-2;0;
0;-2;-21;-6;-5;-3;-1;1;
-1;-10;18;9;2;3;-1;-1;
1;-3;-41;-10;0;0;0;0;
-4;-14;9;-15;-1;-2;1;0;
0;0;-7;0;0;-2;-1;-1;
0;6;-4;4;-2;-1;-1;0;
-1;-1;-1;-6;-2;-1;-1;-1;
-2;-8;6;9;0;1;-1;-1;
-1;-3;-11;0;1;1;0;-1;
0;-5;-28;-3;-1;-2;-2;-2;
-2;-4;5;-6;-2;0;-1;1;
0;-2;12;5;-3;2;-1;0;
-3;-7;-2;-6;-4;-3;-3;-2;
1;2;28;4;0;0;0;1;
-1;-9;7;-2;-1;2;1;-1;
-1;-3;-2;3;0;-2;-2;-1;
0;-4;12;11;3;2;-1;1;
-3;-6;-15;-16;-3;-3;-2;0;
-1;-6;1;2;-4;-2;-1;1;
-1;-5;38;7;1;-1;2;1;
0;0;9;-10;-4;-3;-1;-4;
0;-1;20;9;1;4;0;-3;
0;-4;2;-5;-1;0;-1;-1;
-1;1;9;7;1;-1;-2;-4;
-1;-3;7;-3;-3;-2;-2;-2;
1;-5;14;-1;-2;1;0;0;
-1;-10;-2;-4;-2;-2;-1;-1;
0;-7;-5;2;3;0;2;0;
-1;-3;1;1;0;-2;-1;1;
-1;-3;1;-1;-2;-2;-2;-2;
-2;-6;-26;-9;-3;-2;0;0;
-1;-7;12;-3;-2;-2;0;-1;
0;-2;3;8;3;2;1;-3;
-1;-1;-2;-2;-1;-2;-3;-1;
-3;-4;-1;-1;-2;-3;-2;-2;
-1;1;26;2;-2;-3;-2;1;
-2;-10;-9;-11;-2;0;-2;0;
0;-2;1;-5;-5;-5;-3;-1;
2;2;-17;4;6;6;0;-1;
-1;-1;6;7;0;-1;1;0;
0;-1;6;3;2;-1;1;1;
-1;-6;-1;-16;-3;-4;-1;-2;
0;3;19;-3;1;3;-1;0;
-3;-5;-48;-9;0;0;-1;0;
0;3;30;18;-1;-1;-2;-1;
-3;-3;-21;-14;-2;-1;-1;-1;
-1;1;-4;-4;-4;-2;-2;0;
-2;-3;-5;0;-1;0;0;-1;
0;-4;5;5;0;-1;-1;-1;
-3;-1;9;6;0;1;0;0;
2;3;-43;-1;0;-1;0;-2;
-3;-8;-7;-8;-3;0;-3;-1;
-3;-6;-21;-10;-4;-4;-3;0;
-1;-3;21;4;2;-1;-3;-2;
-2;-7;-12;0;-3;-2;-3;-1;
0;2;28;-1;-1;1;0;-1;
-2;-2;6;7;1;-1;1;-1;
-1;5;-5;-1;-3;-3;0;0;
-1;1;26;8;1;0;-3;-3;
-2;1;-30;-27;-5;-1;-2;-1;
1;3;13;4;2;0;0;-1;
-3;-4;-6;1;-3;-3;-2;-3;
-1;4;9;-7;-2;0;0;0;
-1;11;10;11;0;0;0;0;
0;-3;-28;-4;-1;0;-1;-3;
-1;-3;9;-1;4;-2;1;-1;
-2;1;-4;1;0;-1;0;-1;
-3;-1;-6;-7;-4;-5;-2;-1;
-2;7;25;3;-1;0;-1;-1;
-1;0;-30;-3;-3;-3;-1;2;
2;5;8;7;4;1;1;0;
-3;-14;37;-3;-1;-1;-2;-4;
-1;2;-23;-3;-8;-6;-1;0;
0;-5;33;3;3;3;-1;-2;
-1;-1;-52;-6;-6;-5;-3;-2;
0;4;1;-1;-1;1;0;-2;
-1;-3;18;5;2;1;-1;1;
-2;-5;-8;-2;-2;1;-2;0;
-1;-2;17;-3;0;-4;0;-1;
2;-2;-3;7;-4;-5;-2;0;
0;-4;-8;-10;-1;1;0;0;
-1;-4;-30;-8;0;0;-1;1;
-2;-2;48;-1;-3;-1;-2;-1;
-1;-2;-14;4;-1;-3;-1;-2;
-2;-1;2;3;-3;-2;0;-3;
1;-6;-51;-13;-4;0;0;1;
0;-3;3;-4;1;-1;0;-2;
2;-9;-3;3;4;-1;2;1;
-3;-8;4;5;1;0;-1;-1;
-1;-1;20;0;-2;-2;-1;-2;
-3;-16;18;2;-6;-1;-2;-1;
-1;-5;-20;-6;-3;0;-2;1;
-2;-1;-39;3;0;-2;-1;0;
-2;-2;28;8;0;-3;-2;-1;
-1;-3;-17;-8;-1;0;1;0;
-2;0;8;1;0;1;0;-1;
-1;-14;10;0;-1;2;0;-1;
0;-1;6;6;2;2;0;-2;
-4;-11;-20;-7;0;-1;0;-2;
-1;-4;2;0;-1;0;0;-1;
1;1;20;3;-2;-3;-3;0;
-2;-4;-10;-7;-2;-1;-3;-2;
0;-6;29;7;-4;-3;0;-2;
-2;0;-21;-8;-4;-2;-2;1;
1;6;-19;2;4;2;0;0;
-3;-8;-17;0;-2;0;1;-1;
-1;-3;13;-4;-2;-2;-1;-1;
-1;-4;-16;-4;-3;-1;-1;-1;
-1;-2;16;-1;-2;0;-2;-2;
1;2;1;-5;-2;-2;-1;0;
-2;-2;-21;-11;-1;0;2;-2;
-1;-4;25;-6;-2;-1;-2;-2;
-2;0;-12;0;1;-1;0;-3;
1;3;2;-1;-2;0;0;0;
-1;-5;25;4;-1;0;-2;-2;
-1;-3;-19;-2;-2;-3;-2;-1;
-4;0;9;1;-2;-2;-1;-1;
-3;-11;-49;-8;-1;-1;0;-3;
-1;-4;-21;-6;-1;-1;-1;0;
-3;2;-5;-1;0;2;0;2;
1;-3;-18;3;3;-1;-1;-1;
-2;2;10;2;-1;0;-1;-1;
0;-3;21;1;-3;-2;0;-3;
-1;-4;-4;-6;-4;-4;0;-1;
1;-2;-3;-1;1;0;-1;-3;
-1;-4;24;-5;1;2;1;1;
0;-2;-35;6;2;-1;0;0;
0;-10;15;-11;-3;-1;-1;-1;
1;-1;6;0;-2;1;-2;-1;
-1;-8;-35;1;-1;-1;-2;-2;
0;2;29;-5;-3;-2;0;0;
-5;-18;-27;-1;-3;-2;-2;-3;
0;-7;-13;-2;1;3;2;3;
0;0;17;4;3;1;-1;-2;
1;-1;-4;-2;-1;-2;-1;1;
-1;-5;12;4;-1;0;-2;-3;
-1;0;5;-2;-3;-3;-1;0;
-2;-2;7;0;-3;-3;-1;-3;
-1;-4;1;-3;-1;0;-2;-1;
-1;6;10;-3;0;0;1;-2;
-4;-3;-6;1;-5;-4;-4;-2;
1;-4;18;6;2;1;1;2;
-2;-6;-35;-4;-1;0;-1;-2;
0;3;35;6;2;1;1;-2;
-1;-4;-18;-13;-1;-2;-1;-2;
1;5;19;0;-3;-3;-1;-1;
-3;-3;-66;-9;-1;-1;-1;-2;
1;2;40;6;-1;-1;-2;0;
-3;1;-8;-10;-3;-4;-3;-4;
-2;0;-1;-4;-1;-2;-1;0;
2;0;31;4;2;1;-1;1;
-1;5;-9;4;-2;-2;0;0;
1;-5;-2;9;0;0;0;1;
-3;-4;-14;-22;-6;-1;-1;-3;
-2;-1;17;2;-4;-3;0;1;
-2;2;-20;-4;2;0;-2;0;
0;1;20;5;0;2;0;-1;
-4;-8;5;-10;1;1;-1;-3;
-2;-6;-13;-2;-4;-2;-1;-2;
-1;0;4;-1;-3;-4;1;2;
0;1;-1;3;1;0;-2;-1;
0;-2;3;0;-2;-2;-1;0;
1;1;16;3;0;0;-1;0;
0;-2;4;-6;-4;-5;-2;-1;
0;1;16;9;3;1;-2;-2;
-2;-3;-72;-12;1;2;-1;0;
-1;0;18;1;0;0;1;-1;
-1;-4;-18;-6;0;-3;1;0;
-2;2;-8;-6;-5;-3;-2;-1;
1;1;50;9;-1;1;-1;0;
0;-3;-4;2;-2;1;-1;0;
-2;-5;11;-9;-3;0;-2;-2;
-2;-2;-5;1;-1;-1;-1;1;
1;-1;21;6;1;-2;0;1;
-3;-10;-28;-9;-2;-3;-2;-5;
1;2;20;12;4;1;0;-2;
-2;-8;5;-4;-2;-1;1;0;
-3;0;1;7;-4;-4;-2;-1;
-1;-1;20;-15;-1;0;0;1;
-2;-3;-7;-1;-1;-1;-2;-2;
-1;0;-1;-3;-1;-1;0;-1;
-1;-2;2;4;-4;-4;-2;0;
2;1;-1;7;1;0;0;-1;
-3;-3;3;-9;-3;0;-3;-2;
0;2;4;0;1;1;-1;-2;
1;-4;41;2;0;-1;-2;-2;
-1;-8;-59;-6;0;-1;-1;-1;
-2;3;-5;2;-1;0;0;-1;
-1;2;-15;-6;-6;-5;-3;-2;
0;1;-9;-7;-3;0;0;-2;
-4;0;6;5;0;2;-1;-2;
1;1;14;4;5;1;0;0;
-1;-10;-17;-6;0;-1;-1;1;
0;-3;-3;3;-2;-2;0;-1;
1;-5;-7;-6;-5;-3;-1;0;
-2;-3;-2;1;-2;-1;0;-2;
2;1;6;1;1;-1;0;-1;
-1;1;-25;0;0;1;-3;-2;
-3;-3;16;-5;-3;-2;0;-2;
1;2;-9;1;1;-1;-1;0;
-2;-4;-25;-2;0;-3;-1;-2;
0;-8;18;12;2;1;1;-1;
-2;-9;-30;-16;-2;-2;-2;-3;
0;3;1;1;-1;-1;0;0;
0;-6;-14;6;1;2;0;-2;
-3;-3;15;-8;0;0;-2;-1;
-1;1;9;11;2;0;-1;0;
-3;-9;-1;-14;-4;-4;-3;-3;
-1;3;14;6;-2;-3;-2;0;
1;-12;-7;-1;2;1;1;-1;
1;1;-11;2;-3;-1;-2;-1;
2;-2;-3;2;0;0;-1;-1;
0;-1;12;-5;-1;2;-1;-1;
-2;-7;-1;-2;-1;-1;-1;0;
-1;1;9;1;2;1;0;-1;
-1;-3;1;8;1;-2;-1;0;
0;-1;7;-1;-3;-7;-2;-1;
-1;-4;-13;-14;0;0;-2;-2;
0;-4;12;10;-2;-1;1;-2;
-4;1;-6;-6;-2;0;-1;-2;
-1;0;-5;-4;0;0;-1;-1;
-1;0;9;4;0;-1;0;-1;
-1;7;25;3;-1;0;0;-1;
-1;-7;-94;-22;-2;1;-1;0;
0;3;28;5;3;2;0;2;
-2;-8;-26;-6;-3;-4;-1;-1;
1;3;7;-1;-1;1;-2;1;
0;-5;29;2;-3;-3;-2;-2;
-2;0;-29;0;-1;-1;0;-1;
1;0;-3;4;3;2;1;0;
-2;0;13;-4;-1;-3;-1;-1;
