Año;Mes;Dia; Hora
2020;09;27;19-13-22
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-3;-1;-2;4;1;-3;0;-1;
1;3;9;9;5;1;1;0;
1;-2;-2;-7;-4;-2;-2;-1;
1;-2;-4;-4;-14;0;-2;-1;
1;-1;-11;-3;6;-3;-2;-1;
1;-1;0;7;9;5;0;1;
3;4;14;6;2;-1;0;0;
0;-4;0;-2;-5;1;0;-1;
-1;1;11;-7;-9;-1;-3;-1;
-1;-8;-29;-11;-7;-1;-2;-2;
0;-2;1;0;1;2;-1;-3;
-2;1;-7;-2;7;1;-2;1;
1;-1;2;3;-2;0;1;-1;
0;3;10;-1;2;-2;1;-1;
-2;-1;-2;-7;-7;-3;-3;-2;
0;1;-8;-5;-3;-2;-1;-2;
-1;2;5;-9;-12;-8;0;-1;
-2;-2;-10;4;6;2;2;-1;
0;1;5;-2;-13;-1;-1;1;
1;-4;9;0;13;-4;-2;-3;
-2;-6;-16;0;0;1;1;-1;
-3;-2;3;-10;-16;-6;-4;-1;
-3;-5;-14;3;12;5;1;-1;
-2;3;11;-1;0;8;2;1;
-1;-4;1;7;3;-2;-1;1;
0;-1;-8;-3;4;0;-1;-2;
-1;-1;-1;-7;-6;-7;-2;-1;
-1;-1;-2;-6;-9;-5;-1;0;
0;4;4;-11;-3;0;-3;0;
1;-2;-1;10;4;2;1;1;
-2;0;-4;0;0;0;-2;-2;
-4;2;7;6;1;-2;-1;-2;
-1;1;6;-2;-12;0;0;-3;
-1;0;7;-5;12;0;-1;-1;
0;-2;-18;-7;-1;-2;0;-1;
-3;-2;-1;5;1;-2;1;-2;
-3;-4;-6;-1;1;3;-2;0;
-1;3;9;-2;0;5;-2;-1;
1;1;7;9;5;-3;0;2;
0;-5;-8;-4;-8;-3;1;0;
0;2;1;-5;-12;-6;0;-1;
0;-3;-7;-2;4;2;0;1;
-1;-2;-23;-5;-4;-1;-3;-1;
-2;3;18;5;7;-3;-1;1;
0;-9;-23;-8;-22;-8;-1;0;
-1;-1;4;3;22;-1;-1;0;
-1;-2;9;3;6;4;2;-1;
-1;-1;1;-4;4;4;-1;-2;
-2;-3;-3;7;-1;-4;-2;-1;
-1;0;0;-10;-21;-9;-2;-2;
0;-1;-5;-7;-3;-5;-2;0;
1;-2;11;-4;1;2;0;1;
0;1;-27;4;-1;-3;-1;-2;
-1;-1;6;2;1;0;-2;-2;
0;-2;-12;0;-1;-1;-1;-1;
-1;-4;-1;3;0;-2;2;-3;
0;-1;11;-2;0;1;1;0;
-1;-1;1;-10;-4;-4;-3;0;
0;1;-10;2;-6;2;0;1;
1;-1;4;4;13;4;-1;1;
0;1;10;-7;8;5;0;-1;
-4;1;-12;6;-14;-5;0;-3;
-1;-1;4;-1;11;-2;-2;0;
0;1;-10;0;-4;-3;-2;-1;
-2;0;15;5;-1;-5;-3;0;
-2;-5;-5;-7;-7;1;0;-1;
-1;-3;-4;-11;-14;0;1;-1;
-2;-2;-6;4;3;-2;-2;0;
-1;-1;6;-3;0;1;0;-1;
1;-1;-8;-1;-1;2;-1;-1;
1;0;4;-4;-8;-4;-3;0;
-2;-2;7;-8;-7;0;0;0;
1;-1;-6;16;27;7;-1;1;
2;2;-1;3;-3;-5;-2;2;
-1;-2;-10;2;-2;0;-1;-2;
0;0;0;-15;-18;-8;-3;-2;
-1;0;-10;-7;-11;-4;-3;-2;
0;1;13;2;2;-1;1;-1;
-1;-1;-22;-9;-11;-5;-1;-1;
-2;-3;6;4;5;-4;-1;-2;
2;-1;14;3;4;1;-1;0;
-1;-4;-11;1;-3;-4;-2;0;
-2;2;7;2;2;0;-2;-3;
2;-1;-2;-9;-8;0;1;0;
-3;-7;-5;-6;5;4;2;-1;
-1;-1;4;5;-1;3;0;0;
0;4;2;5;-3;4;-3;-1;
-2;-3;10;-3;1;-2;-2;-1;
-1;-4;-18;-3;-7;-2;-3;-1;
1;3;3;-2;8;1;-2;-2;
-1;-1;3;-6;-9;-4;0;-1;
0;-1;-6;4;-4;-2;0;1;
0;3;26;-4;-3;-2;-1;-1;
-1;-7;-8;3;3;-1;-2;-3;
-1;1;3;-12;-14;-5;-2;0;
1;2;3;7;6;-1;-1;-1;
0;-3;-27;-6;1;0;-1;0;
-3;-2;-4;-7;-3;-2;0;0;
-4;-4;-1;-2;1;0;2;-1;
-1;1;2;-4;-17;-5;0;-1;
1;-2;3;6;18;4;-1;-3;
1;-8;-6;4;11;4;-1;0;
0;-2;-5;-2;-7;1;-2;0;
-3;-2;3;-3;-2;-2;-4;-1;
-4;-4;-8;2;-9;-3;-3;1;
-2;4;2;-2;1;2;2;-1;
-1;-2;-1;-5;-5;-4;-3;-1;
0;0;-4;-9;-4;-3;1;0;
-1;-3;1;7;8;-2;1;-2;
0;1;-10;3;2;-2;1;0;
-1;-1;-4;0;-4;-4;0;-2;
2;-1;0;-6;-1;2;1;0;
0;-1;-12;-2;-5;-1;-2;0;
1;4;21;6;1;-1;-2;-1;
0;-3;-10;-1;0;3;-1;-3;
-3;-4;-7;-10;-13;-8;-5;-3;
-3;1;16;-2;9;-1;-2;2;
-2;0;-12;0;6;-1;1;3;
0;4;8;1;-3;-2;0;0;
-1;-1;9;2;-2;-2;-1;-4;
-2;-9;-42;-18;-9;-2;0;-3;
1;1;18;12;5;0;0;2;
-3;-1;-2;4;8;2;0;-3;
-2;0;-1;-2;-14;-4;0;-3;
-2;0;10;-13;-10;-8;-3;-3;
-1;-5;-23;1;9;4;0;0;
0;4;26;1;-6;-6;-1;-5;
-1;-3;-33;3;0;-1;1;-2;
0;-6;5;-12;-9;-2;-3;0;
-1;-2;10;8;7;-1;-2;-2;
-3;-1;-11;-6;-3;2;1;0;
1;3;18;8;13;4;1;3;
0;-2;-8;1;0;3;1;-1;
-3;-2;3;-5;-10;-4;-4;-1;
-3;-3;-11;-2;4;2;0;-1;
-1;1;22;-1;-4;2;-1;1;
0;-3;-19;-8;-3;-2;-3;-1;
2;1;3;-2;-7;-5;1;1;
0;-2;-4;-4;2;-2;-1;-2;
-1;0;6;5;-2;0;0;1;
0;0;-6;0;6;2;-1;-1;
-2;-2;4;2;-5;0;-2;-2;
-1;-2;7;0;-13;-5;-3;0;
