Año;Mes;Dia; Hora
2020;11;29;18-48-54
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
1;1;-1;1;0;-5;2;1;
0;0;-1;-2;-3;2;-2;0;
-3;-1;-1;0;-2;-7;-3;-1;
-3;-3;-3;-4;-6;3;-1;-1;
-1;-3;-1;-1;-4;-9;-1;0;
0;-3;0;0;8;6;0;-2;
1;-2;-1;2;-12;-4;-1;1;
-1;-2;-1;-6;5;0;-2;-2;
-2;-1;1;6;-2;3;0;-2;
-1;-1;1;5;5;-18;-2;-1;
-1;-3;-2;-6;2;8;0;-2;
0;0;0;0;-4;-6;0;1;
1;-1;-2;-3;-2;1;-2;-1;
0;-1;-5;-2;1;-9;-1;-1;
1;-1;1;2;7;-2;-1;1;
-4;-2;-1;-1;-1;3;-3;-2;
-2;-1;-1;0;-5;3;-1;-1;
0;-3;0;-2;3;2;0;-3;
-1;0;0;-7;-6;0;1;-2;
0;-1;1;2;3;-2;-2;0;
-2;0;-2;-3;2;-1;1;1;
0;-1;3;7;1;15;1;-1;
-3;-1;-4;-6;-13;-15;-2;-3;
-1;-1;0;5;2;-4;-1;-3;
-3;-1;-3;-7;-7;-6;-2;-1;
2;0;-1;-2;2;0;-1;1;
0;-1;-2;6;-10;5;1;0;
0;1;-2;-3;3;-4;0;0;
1;0;0;-3;-1;2;-1;-1;
-3;-3;1;4;-7;-8;-3;0;
0;-1;-1;-2;5;6;-1;0;
0;-2;0;-1;-1;-3;-1;0;
-2;-2;-2;-7;-4;3;0;-1;
-1;0;-1;2;7;-7;-3;0;
0;-1;1;-1;0;1;0;-1;
-2;-2;0;-3;0;2;0;-3;
-2;-3;-6;-4;-7;-6;0;0;
1;2;2;1;-2;0;-1;-2;
-1;-1;1;5;-2;-5;1;0;
0;-1;-1;-3;-1;3;-1;-2;
2;0;1;4;6;4;-1;0;
-4;-1;-2;-5;1;0;-2;-1;
-1;-4;-4;0;2;0;-2;-2;
0;0;0;-2;-6;3;0;1;
-2;0;-2;-5;-3;2;1;0;
-1;-1;-1;-2;2;-3;-2;0;
-1;0;-2;-1;5;-6;-1;-1;
0;-1;-2;-2;1;2;-2;1;
-2;-2;-2;1;-4;-1;-2;-1;
-1;1;0;-2;-1;-8;-1;1;
-1;1;-1;-7;-18;-4;0;-1;
-2;-1;0;11;20;10;0;-1;
-1;1;-2;-12;-22;-13;-2;-1;
-2;0;-3;-5;1;2;-1;-2;
-1;-2;-1;1;-6;-1;-3;-2;
-1;-1;3;1;-2;-3;-3;-2;
-1;-2;-1;-3;3;3;-2;1;
0;-1;-3;-3;1;-10;-3;-1;
1;2;0;7;4;4;0;1;
-3;-3;-4;-8;-10;-2;-2;-5;
0;0;0;4;10;6;0;-3;
-1;-1;-2;-1;-5;-3;0;0;
0;-2;-3;-4;-4;-3;0;-2;
0;1;1;9;14;5;1;1;
-4;-3;-2;-1;9;6;-3;0;
-2;-1;2;4;-8;-7;-3;-2;
-1;-2;0;-1;14;-2;-2;0;
-1;-1;-2;-7;-16;-5;1;-1;
0;-1;-2;3;7;1;1;0;
0;0;-1;-4;-1;3;-4;0;
0;0;0;-2;-8;-9;-2;-1;
1;1;2;-5;0;-1;0;0;
1;-2;-1;7;3;3;-2;-2;
-3;-2;-3;-4;-13;-5;-1;-2;
0;0;5;5;8;-2;0;-2;
0;-1;-3;-6;-10;3;0;1;
1;-2;-1;-1;7;2;0;-1;
-2;-3;-4;-3;-1;0;-2;-3;
-2;-3;-4;-2;-6;-3;-1;0;
1;0;0;4;6;-4;0;-2;
-1;0;0;2;9;0;0;0;
-3;0;-3;-3;2;7;-1;0;
-1;1;0;8;2;1;-2;-2;
1;0;-1;-7;-13;-6;-1;-1;
-1;-3;-1;-1;13;7;-2;-1;
-1;-2;-2;-4;-15;-10;-4;-2;
-3;1;2;0;2;1;-1;-2;
-2;1;2;11;-6;-2;1;0;
-2;-1;-4;-5;2;-1;0;1;
0;-3;1;-2;-8;-2;0;-1;
