Año;Mes;Dia; Hora
2020;09;12;17-36-38
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
-13061.979480025708;-187500.02235174447;-39647.837239246044;-9226.666000684023;-4400.29852393848;-7944.726400938797;-15842.290621076898;-11969.85089419495;-13998.629331425349;3746.487646876293;-169941.18481173334;-10566.18369414612;-37296.85840569239;-187500.02235174447;-32427.70969005939;-25179.821274259244;
-13059.00669801315;-187500.02235174447;-39639.27652111966;-9215.19955577845;-4395.939933769695;-7941.418342759413;-15831.002990126968;-11956.305737055032;-13988.839267353926;3864.9295407449654;-169785.25904241312;-10587.641368823215;-37318.33843211394;-187500.02235174447;-32346.997540831275;-25204.296434437805;
-13056.592709611978;-187500.02235174447;-39631.43105881585;-9208.024645808298;-4404.366541429346;-7924.743941395753;-15832.142929094189;-11971.169647117811;-14002.987921594135;3749.013393999743;-169927.4161371489;-10572.129258171231;-37306.58141453045;-187500.02235174447;-32403.927433958943;-25192.60647208768;
-13014.86200271392;-187500.02235174447;-39618.13177086494;-9192.378424689583;-4371.0847939353935;-7918.597211670543;-15819.782414410403;-11945.241623549655;-13965.794618820504;3861.2191511653846;-169786.55544359155;-10574.789115761414;-37312.77284774457;-187500.02235174447;-32333.564142413634;-25201.99420475891;
-13011.978627679186;-187500.02235174447;-39623.11620987847;-9200.670921882502;-4423.566689916455;-7910.975266811284;-15828.097263347778;-11988.089917670479;-13984.39127020732;3735.69175430438;-169936.49094539773;-10559.142894642699;-37292.38805680133;-187500.02235174447;-32412.242282896317;-25188.583158085723;
-12992.778479192077;-187500.02235174447;-39615.047230130105;-9195.664131124513;-4316.323020019891;-7910.8411563445525;-15843.519967021939;-11907.489527164642;-13956.04925823799;3858.8945697420327;-169791.40577213833;-10581.606397820282;-37310.358859343396;-187500.02235174447;-32326.322177210117;-25216.679300866046;
-12976.327595272971;-187500.02235174447;-39601.32325903455;-9178.453287893926;-4448.198312306204;-7922.419359972401;-15815.423824241618;-12002.976179477713;-13990.537999932529;3753.461391146349;-169912.06048870808;-10560.66281326566;-37283.715579952666;-187500.02235174447;-32384.7943407052;-25196.80860004528;
-12995.773612949088;-187500.02235174447;-39619.22700634325;-9200.447404437948;-4285.119984760283;-7942.647688704454;-15834.333400050808;-11886.814163543482;-13948.42731337873;3831.491331039826;-169822.96643530924;-10571.414002348662;-37297.88658593733;-187500.02235174447;-32338.235657004796;-25216.209914232484;
-12977.556941218012;-187500.02235174447;-39608.43111377134;-9186.455212408926;-4432.932070843229;-7933.327011266591;-15826.264420302443;-11974.500057041652;-13998.182296536244;3789.917086352955;-169865.0994736075;-10571.570464559849;-37299.47355979366;-187500.02235174447;-32340.15790702795;-25214.377071187148;
-12979.143915074339;-187500.02235174447;-39610.68863996132;-9185.874067053088;-4260.913045515185;-7934.735171167275;-15829.728940693014;-11857.041639929013;-13948.583775589917;3840.3873253330385;-169804.1239147334;-10569.42469709214;-37305.97791743016;-187500.02235174447;-32306.96556651182;-25223.742452113922;
-12974.22653129417;-187500.02235174447;-39590.92969786283;-9165.28811040975;-4452.35573677489;-7914.082159290571;-15812.182821295599;-11975.304719842045;-13986.872313841857;3801.919973125455;-169840.2890372621;-10554.270214351442;-37289.929364911244;-187500.02235174447;-32319.81781957362;-25205.950463527497;
-13013.342084090958;-187500.02235174447;-39612.7002969623;-9183.415375163004;-4255.41451637918;-7946.782761428686;-15838.781397197414;-11844.926994434238;-13951.422447135741;3820.6283832345466;-169819.94894980776;-10562.987394689011;-37310.8058942325;-187500.02235174447;-32303.411639143425;-25224.56946665877;
-12992.71142395871;-187500.02235174447;-39574.47881394372;-9152.413505603494;-4471.958216662195;-7901.296961462136;-15808.919466605124;-11977.159914631835;-13992.080270299944;3810.7936156742117;-169823.48052543172;-10546.491807280994;-37295.450245791704;-187500.02235174447;-32302.49521762076;-25204.85522804919;
-13026.216688897215;-187500.02235174447;-39596.65174444339;-9173.826476791677;-4253.671080311666;-7935.249261289748;-15831.60648722726;-11843.742351978106;-13947.197967433689;3796.8684788785554;-169848.5368309661;-10548.726981726526;-37303.206301117694;-187500.02235174447;-32314.341642182073;-25210.465515907472;
-13018.61709578241;-187500.02235174447;-39572.42245345384;-9150.312441624696;-4462.145800846315;-7899.41941492789;-15796.89422808817;-11969.60502500594;-13982.916055073269;3821.2765838237506;-169804.74976357815;-10544.681315980115;-37296.053742892;-187500.02235174447;-32290.715848292813;-25202.664757092567;
-13051.742381065176;-187500.02235174447;-39603.29021254661;-9183.571837374191;-4247.457295353091;-7932.097665321549;-15825.862088902246;-11835.449854785187;-13938.413731862753;3786.586676429114;-169854.1471188244;-10540.70270546707;-37302.98278367314;-187500.02235174447;-32306.38442115598;-25203.536475126326;
-13018.95237194924;-187500.02235174447;-39573.7412063767;-9163.745840042335;-4442.6327279368315;-7923.8722233619965;-15811.55697245085;-11939.251356035633;-13978.982148049136;3871.7691745482894;-169740.64496048033;-10559.679336509626;-37316.840865235434;-187500.02235174447;-32232.511905731193;-25216.768707843865;
-13022.461595828725;-187500.02235174447;-39572.265991242646;-9154.961604471398;-4275.08405149985;-7915.378560468979;-15824.476280746017;-11845.530491534531;-13944.694572054694;3779.344711225595;-169852.3813310124;-10533.348981541274;-37294.10914112439;-187500.02235174447;-32292.280470404683;-25194.953405255488;
-13012.693883501755;-187500.02235174447;-39556.99974977967;-9135.895566451021;-4427.433541707223;-7896.558391637611;-15797.40831821064;-11923.851004105927;-13956.13866521581;3869.913979758499;-169733.13477434334;-10544.010763646456;-37300.45703654969;-187500.02235174447;-32229.986158607742;-25213.348890942205;
-13028.116587175917;-187500.02235174447;-39574.3894069659;-9154.38045911556;-4261.181266448649;-7925.861528618519;-15818.262495787443;-11829.414883782254;-13934.256307394066;3781.758699626768;-169852.26957229016;-10528.722170439027;-37298.02069640406;-187500.02235174447;-32283.183310411372;-25203.201198959494;
-13004.110813630918;-187500.02235174447;-39548.93077003131;-9130.9558309264;-4390.0390732334945;-7906.013179542206;-15800.157582778644;-11895.01725375858;-13944.962792988157;3901.4075876960264;-169697.72961112615;-10531.918469896134;-37302.84867320641;-187500.02235174447;-32207.18737926333;-25209.884370551634;
-13017.38774983737;-187500.02235174447;-39561.44774692628;-9138.354258341105;-4277.430984667657;-7906.482566175768;-15806.438422970585;-11837.953250164182;-13936.37972311732;3784.0832810501197;-169839.77494713964;-10516.719283666525;-37292.63392599034;-187500.02235174447;-32276.097807419043;-25189.276062163837;
-12987.6152262229;-187500.02235174447;-39526.06493545353;-9111.196888827908;-4369.296654378969;-7894.32321719208;-15783.594940137262;-11887.998805999614;-13929.09305442489;3900.781738851278;-169691.76169535657;-10519.021513345422;-37290.68932422272;-187500.02235174447;-32200.79478034911;-25189.499579608393;
-13023.378017351391;-187500.02235174447;-39561.000712037174;-9142.265813620785;-4282.728348103565;-7930.801264143141;-15812.540449206883;-11839.026133898036;-13927.32726661292;3773.622664645036;-169851.2860955341;-10506.526888194907;-37271.6456379468;-187500.02235174447;-32276.14251090795;-25181.341192882206;
-13018.885316715876;-187500.02235174447;-39549.02017700913;-9124.764397712279;-4316.993572353551;-7875.458344871801;-15794.435536198085;-11849.933785192226;-13930.23299339211;3916.0926838031633;-169674.97553527064;-10522.866013391735;-37288.99059164412;-187500.02235174447;-32182.28753594012;-25199.401402402094;
-13028.429511598291;-187500.02235174447;-39550.450688654266;-9132.47574954936;-4321.150996822238;-7912.964572067806;-15798.056518799845;-11871.749087780607;-13941.85590050887;3784.7985368726895;-169831.39304296888;-10503.151774782154;-37276.22774556014;-187500.02235174447;-32257.568211265592;-25179.97773647043;
-13022.729816762188;-187500.02235174447;-39535.34090940248;-9125.166729112474;-4289.500926673523;-7906.974304553784;-15794.010853053434;-11844.837587456417;-13916.687836252195;3899.261820228317;-169689.03478253304;-10515.735806910492;-37290.085827122435;-187500.02235174447;-32194.245719223705;-25197.054469234285;
-13020.628752783388;-187500.02235174447;-39556.21743872374;-9134.107426894598;-4328.884700403774;-7914.149214523937;-15809.254742771953;-11882.67909081925;-13944.76162728806;3777.489516435804;-169835.10343254847;-10499.016702057923;-37270.84097514641;-187500.02235174447;-32264.027865413176;-25181.050620204285;
-13019.175889393795;-187500.02235174447;-39551.05418575456;-9137.639002518536;-4250.966519232574;-7924.118092551004;-15808.919466605124;-11816.249706298078;-13926.746121257082;3913.857509357633;-169670.6616485908;-10530.040923361888;-37305.19560637422;-187500.02235174447;-32170.664628823357;-25210.75608858539;
-13026.216688897215;-187500.02235174447;-39529.14947618836;-9119.534089509736;-4350.208264614137;-7897.497164904734;-15789.875780329203;-11892.267989190577;-13955.736333815616;3806.524432483248;-169794.6691268288;-10499.307274735842;-37273.67964669224;-187500.02235174447;-32227.728632417755;-25177.206120157975;
-13022.14867140635;-187500.02235174447;-39535.989109991686;-9120.606973243592;-4233.97919344654;-7914.730359879775;-15787.685309372582;-11820.787110422507;-13903.746176212571;3896.3113899602167;-169685.83848307593;-10507.040978317378;-37289.97406840015;-187500.02235174447;-32172.720989313246;-25187.577329585234;
