Año;Mes;Dia; Hora
2020;09;20;09-48-02
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
-67313.70893880236;-54632.17850115043;-64438.40288381611;-63322.87202154065;-76224.92476998863;-77016.24357893987;-74036.6219325807;-77707.38186924242;-73228.76283273254;-65197.736346451806;-38603.384924338454;-71725.33979717968;-25508.458972985623;-65200.91029416446;3467.5602278185165;-52698.90906797756;
-67308.21040966635;-54619.84033821111;-64475.506779611926;-63346.453111940995;-76236.81589803885;-77039.66820712903;-74064.02517128292;-77729.75596544218;-73222.25847509605;-65195.210599328355;-38603.340220849546;-71729.2290007149;-25515.43271725568;-65199.74800345278;3400.48264270814;-52706.86628900365;
-67328.46109014287;-54656.743068306816;-64460.84403524924;-63343.72619911745;-76249.57874412283;-77043.19978275297;-74064.13693000519;-77730.42651777584;-73255.71903654565;-65228.60410554458;-38599.31690684759;-71758.57684118472;-25548.736816494085;-65228.134718911024;3473.930474988279;-52731.67672534904;
-67316.21233418136;-54609.536184017205;-64471.4164103766;-63339.054684526294;-76235.47479337154;-77041.25518098536;-74062.12527300422;-77726.96199738527;-73234.57428629092;-65204.21835234384;-38644.66859634741;-71739.46609967544;-25527.837935428375;-65207.168782611945;3362.0823457339225;-52709.86142276066;
-67322.69434007339;-54631.843224983604;-64460.6652212936;-63340.88752757163;-76246.78477606592;-77041.433994941;-74063.95811604954;-77729.86772416446;-73247.7394637751;-65221.18332638542;-38569.2538105552;-71745.47871893391;-25543.10417689135;-65212.555553025675;3491.4318908967844;-52713.95179199598;
-67324.23661044081;-54622.38843707901;-64467.23663416346;-63339.00998103738;-76232.05497646988;-77032.15802099205;-74051.59760136576;-77723.40807001687;-73238.21762063714;-65213.65078850398;-38670.59661991556;-71740.40487294256;-25539.282028589492;-65207.32524482313;3359.936578266213;-52711.24723091689;
-67332.4397006559;-54661.52634162025;-64479.70890756952;-63354.87971960065;-76255.94899129261;-77046.88782058809;-74065.4333311836;-77740.08247138053;-73245.97367596313;-65222.94911419739;-38550.79126963512;-71748.3844457131;-25542.947714680162;-65215.01424491576;3495.678722343293;-52713.884736762615;
-67318.22399118233;-54631.68676277241;-64475.909111012115;-63345.53669041833;-76240.70510157409;-77045.18908800949;-74068.13789226269;-77730.94060789832;-73250.77930102102;-65225.407806087474;-38695.69762893887;-71751.20076551447;-25548.49094730508;-65225.85484097658;3343.2398251580985;-52717.68453332002;
-67312.97133123533;-54623.595431279595;-64454.29497412383;-63332.72914084544;-76235.11716546025;-77028.44763141246;-74046.30023792986;-77717.93189262532;-73239.20109739318;-65210.72270998034;-38541.58235091953;-71746.86452709015;-25532.06241513043;-65211.706186736374;3489.1743647067983;-52713.95179199598;
-67314.13362194701;-54619.52741378873;-64472.690459810554;-63332.684437356525;-76226.86937175624;-77024.75959357734;-74047.55193561935;-77717.9989478587;-73223.86780069683;-65200.105631364066;-38686.95809685685;-71717.67314883151;-25523.792269681966;-65202.49726802079;3362.864656789858;-52681.20648636896;
