Año;Mes;Dia; Hora
2020;11;02;21-30-01
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
20384.4109635843;46350.43249731451;-26327.94097995055;-17163.770456763563;-6681.718728747217;-28486.40423851064;-23873.361810846545;-8105.03311217226;-25722.499277889645;-2909.8171484252393;-19517.96794151878;-20899.439859323487;-25715.5702371085;1498.5056517726962;-4216.366018815758;-4469.253655583102;
20403.588760326955;46341.04476464329;-26296.983813879946;-17163.122256174356;-6651.543873732552;-28515.528561535903;-23906.196523451392;-7703.305209077026;-25720.46526914421;-2481.423614194824;-19434.41712074484;-20895.79652497727;-25758.75380739615;1620.9038044099575;-4222.646859007699;-4319.027581098983;
20388.680146775263;46354.70168050548;-26316.116907133688;-17161.132950917836;-6841.109018458012;-28492.327450791294;-23882.749543517773;-8203.872526153627;-25712.351585906934;-2903.5586599777535;-19508.222580936264;-20890.85678945265;-25698.292338644547;1504.2724018421652;-4203.2008413315825;-4469.298359072013;
20397.419678857288;46331.88054941661;-26311.423040798076;-17173.91814874627;-6483.346996706367;-28522.79287848388;-23907.62703509653;-7577.353129071371;-25729.718891348708;-2482.4964979286788;-19428.583315442003;-20897.85288546716;-25761.748941153164;1618.4451125198739;-4224.300888097392;-4322.737970678565;
20400.683033547764;46349.694889747494;-26309.81371519729;-17160.305936372988;-7002.935648314435;-28492.9756513805;-23884.314165629647;-8261.830599526238;-25726.90257154734;-2875.082537541692;-19519.510211886194;-20898.90341745656;-25700.303995645525;1500.2937913291207;-4210.174585601639;-4484.475193557167;
20401.24182715915;46344.46458154495;-26310.528971019863;-17168.866654499372;-6335.132579223226;-28500.575244495303;-23893.83600876761;-7508.733273593578;-25714.89968477484;-2517.231108812226;-19426.236382274197;-20891.2814725973;-25753.724664893707;1613.5947839730723;-4216.097797882295;-4316.121854319794;
20392.18937065475;46334.69686921798;-26315.44635480003;-17178.187331937235;-7140.398876714573;-28513.941587679576;-23900.049793726183;-8334.518472494898;-25719.817068555007;-2862.4538019244437;-19523.1088427435;-20900.1327634016;-25694.04550719804;1505.3899890649307;-4211.225117591038;-4478.2614085985915;
20367.557748265;46324.526825490815;-26338.60276205573;-17198.817992069482;-6220.646944123143;-28527.68791051959;-23918.802907324185;-7455.245549112028;-25745.409815956333;-2570.3835571269465;-19456.120664610942;-20920.539906089296;-25772.72364768072;1587.957333082835;-4243.813961006876;-4341.0887528763715;
20399.81131551401;46330.047706371275;-26305.47747677296;-17182.16594245028;-7257.969052549488;-28527.911427964144;-23915.003110766782;-8356.870216950205;-25746.102720034447;-2831.9436707429495;-19548.00868606671;-20922.70802530146;-25710.786963795064;1505.2335268537436;-4233.8450829798085;-4490.2419436266355;
20383.494542061635;46331.45586627196;-26336.79227075485;-17188.178561708755;-6132.290498291314;-28513.963939424033;-23888.762162776253;-7473.52927607647;-25722.90160928984;-2633.326069513091;-19455.181891343822;-20901.965606446935;-25749.880164847396;1585.5209929372065;-4223.093893896806;-4339.412372042224;
20408.70730980722;46332.282880816805;-26303.77874419436;-17180.266044171578;-7329.807559228845;-28526.97265469702;-23907.58233160762;-8381.077156195302;-25736.75969085213;-2785.3402835536344;-19531.15547074741;-20910.928655973516;-25710.250521928137;1524.4336753408522;-4226.871338709752;-4471.2206090951695;
20368.429466298756;46330.807665682754;-26347.16348018211;-17190.033756498546;-6072.656044084554;-28511.862875445233;-23891.377316877522;-7471.808191753411;-25729.204801226235;-2682.3657968480347;-19461.216862346755;-20903.820801236725;-25753.43409221579;1570.9700072968017;-4226.960745687574;-4358.701927507153;
20419.860830290418;46334.00396513986;-26286.500845730407;-17168.263157399077;-7354.394478129683;-28521.295311605372;-23912.58912236561;-8345.537882511364;-25737.586705396978;-2721.5260531337326;-19517.453851396305;-20908.693481527982;-25711.368109150902;1545.6454808289386;-4224.814978219864;-4450.92522512975;
20369.16707386578;46332.55110175027;-26345.59885807024;-17185.809276796495;-6051.466590340923;-28506.900788176157;-23885.074124941126;-7504.10646249133;-25718.811240054518;-2730.198529982392;-19464.681382737326;-20901.69738551347;-25737.631408885885;1563.6833386043716;-4219.07057989485;-4373.744651525575;
20416.59747559994;46323.051610356764;-26288.177226564556;-17170.520683589064;-7333.339134852784;-28527.710262264045;-23910.152782219982;-8252.934605233027;-25733.026949528095;-2656.0577936241384;-19514.414014150385;-20915.935446731502;-25722.275760445093;1555.055565244623;-4233.822731235353;-4437.134198800826;
20369.390591310334;46333.892206417586;-26340.525012078884;-17179.34962264891;-6092.437337927501;-28497.06602061582;-23874.948784702872;-7569.932349912209;-25707.210684682213;-2783.798013186218;-19473.398563074894;-20897.674071511516;-25729.09304250396;1546.2266261847767;-4215.918983926652;-4390.664922078243;
20418.18444945627;46328.997174381875;-26285.76323816338;-17170.274814400054;-7279.96316909351;-28531.13007916571;-23913.17026772145;-8177.139839785081;-25725.22619071319;-2605.1181680104933;-19491.168199916865;-20904.580760548208;-25725.6732256023;1578.211972500321;-4227.251318365493;-4408.188689731203;
20371.625765755864;46347.14679087958;-26339.474480089484;-17178.030869726048;-6172.255417377403;-28494.98730838148;-23871.841892223587;-7676.2819500305595;-25707.970643993696;-2835.8105225337176;-19479.835865478024;-20893.382536576097;-25724.28741744607;1532.122675433478;-4210.018123390451;-4405.908811796762;
20422.3195221805;46332.774619194824;-26283.371601506664;-17174.521645846566;-7188.142202871109;-28535.153393167664;-23927.520087661756;-8077.875742659062;-25733.362225694924;-2556.1901993978263;-19478.114781154967;-20911.465097840442;-25734.926847806793;1591.60066742905;-4230.961707945074;-4382.730052796609;
20376.99018442514;46338.13903786409;-26332.567791052796;-17174.36518363538;-6277.800354695363;-28486.605404210735;-23868.131502644006;-7784.129117027416;-25713.245655685147;-2864.599569392153;-19485.75907775868;-20899.193990134478;-25709.825838783487;1525.2383381412433;-4205.92775415513;-4422.337343971413;
20432.869545563408;46343.45875304446;-26273.29096475732;-17160.127122417347;-7048.667317469993;-28512.44402080107;-23899.06631697015;-7956.125790611004;-25718.319501676502;-2506.1893470513046;-19448.610478473962;-20899.998652934868;-25731.216458227213;1614.1312258399996;-4212.990905403007;-4350.968223925617;
20392.278777632568;46345.157485623065;-26318.530895534863;-17165.69270678672;-6416.425873807178;-28481.106875074733;-23863.281174097203;-7890.612827612499;-25697.554731077522;-2880.089328299681;-19483.121571912954;-20884.151266116056;-25699.029946211573;1521.1032654170115;-4193.455480749069;-4428.30525974098;
20395.340966622945;46291.35683671914;-26297.58731098024;-17194.861733300895;-6923.98928689829;-28556.476957378025;-23942.07107330216;-7836.342792075014;-25740.00069379815;-2486.653922397366;-19456.344182055498;-20917.030682209814;-25750.729531136698;1609.9067461379466;-4231.520501556457;-4347.235482601582;
20351.151567834804;46293.94963907595;-26334.534744564862;-17194.07942224496;-6610.97545754617;-28519.01543367093;-23906.911779273963;-8030.870024069551;-25734.94919955125;-2923.027029398326;-19528.026226523667;-20929.927638760524;-25716.017271997604;1485.0051981216907;-4230.000582933496;-4479.758975477097;
20363.959117407696;46270.25678995333;-26314.35111932172;-17212.921942820783;-6770.3880990014195;-28565.08237899332;-23949.044817572216;-7734.083561191984;-25746.57210666801;-2494.722902145732;-19457.819397189545;-20933.123938217635;-25757.90444110685;1605.3246385246086;-4244.417458107168;-4344.463866289123;
20344.22252705366;46283.24315348186;-26334.221820142488;-17203.78007933856;-6785.788450931126;-28526.59267504128;-23906.867075785052;-8137.80076954374;-25735.865621073917;-2922.4235322980326;-19533.278886470664;-20923.199763679477;-25699.476981100677;1487.1956690783106;-4225.887861953719;-4482.955274934206;
20364.808483696997;46279.73392960238;-26315.78163096686;-17207.713986362694;-6607.242716222134;-28550.84431777529;-23933.800927853696;-7628.002182007097;-25741.386501954377;-2491.079567799517;-19450.309211052565;-20929.27943817132;-25761.748941153164;1606.375170514008;-4242.2940423839145;-4329.9352323931735;
20368.004783154105;46308.098293316165;-26313.010014654403;-17188.223265197666;-6939.210824872354;-28507.906616676646;-23882.30250862867;-8235.634355024618;-25717.00074875364;-2906.5537937347644;-19519.890191541934;-20910.906304229058;-25692.36912636389;1490.9731138912575;-4211.02395189094;-4468.337234060435;
20360.896928417318;46280.2256679804;-26321.68249150306;-17205.657625872806;-6427.735856501563;-28541.344826381785;-23915.003110766782;-7524.491253434569;-25717.04545224255;-2510.659695942366;-19432.673684677327;-20912.247408896375;-25755.803377128053;1607.693923436871;-4223.697390997099;-4305.035389069962;
20379.493579804133;46312.09925557367;-26307.44443028503;-17185.2057796962;-7081.792602752758;-28515.372099324715;-23894.4395058679;-8282.483611402942;-25724.71210059072;-2881.6763021560078;-19529.367331190984;-20925.054958469267;-25696.90653048832;1492.6718464698608;-4220.746960728999;-4479.960141177195;
20370.5081785331;46300.25283101235;-26324.699977004526;-17193.341814677933;-6285.7128722325415;-28519.909503449144;-23898.842799525595;-7479.363081379304;-25707.523609104588;-2550.0881731615273;-19426.0352165741;-20906.41360359354;-25738.123147263905;1603.111815823533;-4214.980210659529;-4309.841014127853;
20380.87938796036;46303.15855779154;-26303.77874419436;-17179.327270904454;-7193.28310409583;-28513.40514581265;-23897.322880902637;-8330.65162070413;-25713.871504529896;-2846.7181738279073;-19519.24199095273;-20908.782888505804;-25681.684992514252;1509.5474135336178;-4210.442806535102;-4465.587969492432;
20348.424655011255;46294.329618731696;-26334.93707596506;-17189.944349520727;-6165.929873696551;-28528.69373902008;-23894.86418901255;-7414.520670714459;-25714.22913244118;-2587.594400357533;-19434.93121086731;-20910.727490273417;-25742.593496154965;1592.7406063962708;-4220.411684562169;-4323.386171267769;
20384.030983928562;46302.73387464689;-26294.01103186739;-17173.337003390432;-7289.8649918872115;-28524.69277676258;-23897.568750091643;-8319.609858943208;-25715.346719663947;-2791.643475490031;-19512.022377493668;-20919.645836311083;-25686.736486761154;1521.4161898393859;-4216.276611837937;-4467.241998582125;
20359.93580340574;46302.845633369165;-26331.07022417429;-17186.479829130152;-6101.154518265071;-28508.957148666042;-23880.648479538977;-7404.730606643035;-25702.136838690858;-2635.8294648920855;-19430.28204802061;-20910.168696662033;-25737.653760630343;1579.6871876343714;-4218.489434539012;-4336.730162707587;
20399.341928880447;46307.807720638244;-26279.728267160448;-17170.4536283557;-7342.972736713021;-28519.03778541539;-23892.763125033754;-8310.378588483165;-25701.37687937938;-2738.602785897587;-19492.777525517646;-20904.536057059297;-25683.65194602632;1536.704783046816;-4208.520556511946;-4439.414076735267;
20355.376047536858;46302.152729291054;-26334.31122712031;-17192.335986177444;-6062.463648612935;-28515.12623013571;-23890.215026165846;-7426.769426675967;-25696.995937466138;-2682.1422794034816;-19437.65812369086;-20904.021966936823;-25722.253408700635;1572.244056730754;-4208.0735216228395;-4342.854540688341;
20392.211722399203;46299.40346472305;-26276.800188636804;-17177.740297048127;-7355.042678718887;-28535.667483290137;-23904.11781121705;-8246.318488874256;-25719.057109243528;-2667.256017596247;-19497.449040108808;-20915.0860804422;-25693.933748475763;1555.0779169890782;-4216.991867660507;-4428.260556252069;
20350.65982945679;46311.02637183981;-26330.846706729735;-17191.061936743492;-6092.750262349876;-28506.565512009325;-23868.57853753311;-7497.020959498997;-25709.4682108722;-2738.580434153132;-19452.343219797996;-20899.350452345665;-25710.317577161502;1557.2236844567879;-4206.240678577505;-4361.473543819612;
20401.197123670237;46304.85729037014;-26276.77783689235;-17179.1037534599;-7338.256518632951;-28535.712186779045;-23909.616340353055;-8205.437148265499;-25731.03764427157;-2631.783799145675;-19490.81057200558;-20910.57102806223;-25696.303033388023;1565.6055886275278;-4218.377675816736;-4399.337398926902;
20341.249745041103;46302.867985113626;-26341.620247557195;-17195.711099590197;-6150.775390955853;-28514.8803609467;-23882.30250862867;-7598.609638048368;-25719.548847621543;-2802.0370366617485;-19469.28584209512;-20902.74791750287;-25696.95123397723;1538.7611435367041;-4206.933582655619;-4375.085756192894;
