Año;Mes;Dia; Hora
2020;11;01;22-26-56
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-1;-6;0;-2;1;-1;0;-3;
-1;8;1;-2;-2;-2;-1;-1;
0;2;-1;6;-1;0;-2;-1;
0;26;-4;-9;-4;-2;-1;-4;
3;18;5;-1;0;-2;0;0;
-2;-26;-5;4;3;-2;0;4;
-3;-16;-2;-6;-3;2;-1;-6;
-7;-8;-2;5;-1;1;-1;-2;
-1;-9;0;-1;-2;-3;-1;-1;
4;39;3;2;-3;-2;-3;0;
0;-20;-3;-11;-2;-2;0;3;
1;0;0;11;2;0;-3;0;
3;22;2;3;3;3;0;-1;
-4;-19;-4;-6;-2;-2;-1;-3;
0;7;1;2;1;-1;1;0;
-1;-14;-5;-9;-3;-3;-3;-3;
0;16;2;-2;-4;-1;-2;-2;
0;-6;-1;3;4;1;1;0;
-4;-8;1;-3;0;-2;0;-1;
5;43;1;2;-1;-1;1;1;
-5;-54;-5;0;-2;-3;-2;0;
-1;2;-7;-4;-2;-1;1;0;
2;2;0;-2;0;-2;-1;0;
-1;-13;-5;-2;-2;0;0;1;
-5;-6;3;-2;0;0;-1;-8;
-2;-5;1;2;-1;0;-1;0;
-2;-20;-6;0;0;-1;1;2;
3;39;2;-5;-2;-2;-1;0;
-10;-87;-8;-2;-2;1;-2;-3;
0;6;1;0;-2;-4;-1;-2;
-2;13;1;0;0;3;-2;-1;
-1;-3;-6;-2;-1;-3;0;-2;
1;25;0;0;-2;-2;-2;0;
0;-12;-7;-4;0;-1;-1;-1;
0;5;10;3;3;-4;-2;0;
-4;-35;-11;-1;2;5;1;0;
0;17;0;4;-4;-3;-2;-1;
2;-14;2;-3;-2;-1;-1;-1;
2;30;-2;-4;-2;-2;0;-1;
-2;-7;4;-1;0;-3;-4;-1;
0;17;-1;-2;0;0;1;-1;
-4;-20;-1;-1;-3;0;-2;-2;
3;9;1;3;0;0;0;4;
-9;-8;7;2;-2;-2;-1;-8;
7;44;-3;0;-2;0;0;2;
-9;-78;-11;-5;-3;-1;-1;-1;
-2;-12;-3;-6;-3;-1;-2;-1;
0;-4;1;5;2;-1;-1;1;
4;20;2;-3;-1;0;0;0;
1;50;1;1;-2;-2;-3;-2;
-5;-33;-3;-2;-3;-3;-1;-1;
0;-9;-3;-2;1;-1;0;1;
-4;-2;-4;-10;-3;-4;-4;-2;
0;11;3;13;2;2;0;1;
