Año;Mes;Dia; Hora
2020;11;01;21-20-13
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
60584.760974021076;62221.60157222767;-8791.231666950187;-12365.476771053884;49812.67300995267;-17247.27657404859;-2304.0848736864177;32629.74710819091;498.4215496088922;34707.22999658943;31261.552126592655;24393.151628154712;-346.6308530129019;-7592.306446111971;-4927.710286105906;-4220.50109153999;
59947.758608789285;60643.6131171719;-8779.720518555703;-12322.315552510687;46713.849510413354;-17272.511693538632;-2353.348118465915;31494.09967590567;458.16605784488416;34495.55897659767;31006.406963635323;23821.66222592142;-292.33846573096105;-7559.9411201406865;-4857.123477116046;-4135.586814354278;
60579.70947977418;62210.67156918903;-8793.422137906808;-12375.915035714512;49685.133956090685;-17247.678905448785;-2305.3365713759154;32601.98624157742;488.2291541372722;34637.649016100055;31189.84773038003;24255.084902654282;-343.90394018935444;-7593.535792057013;-4923.955193037414;-4205.860698921764;
59959.58268160614;60675.710222209724;-8776.010128976122;-12315.006532073801;46904.46518712821;-17280.155990142346;-2363.3840517263475;31553.10828126768;461.7870404466439;34569.140919344536;31084.77217969563;23982.84065518864;-295.51241344361466;-7565.394945787782;-4869.6628057554735;-4152.730602351499;
60557.40243880778;62120.99637043433;-8797.26663795312;-12381.502971828339;49462.97996794939;-17252.328068295486;-2297.9157922167533;32537.85908673514;477.79088947664377;34568.49271875533;31115.662290532866;24085.703383171964;-333.01864063961995;-7587.277303609527;-4917.137910978546;-4206.151271599683;
59991.81389711069;60736.66342933934;-8781.508658112129;-12308.47982269285;47166.941722266885;-17282.011184932137;-2353.6833946327442;31632.769898506394;482.0824244120627;34642.119364991115;31165.305514968102;24139.571087309254;-298.373436733894;-7559.874064907321;-4869.5510470331965;-4155.9492535530635;
60518.756272644554;61999.313473619644;-8795.634960607882;-12387.202666664441;49178.375205799966;-17253.26684156261;-2290.0926816573956;32452.341312449138;477.5226685431801;34497.190653942904;31052.608019424442;23958.61136419909;-330.96228014973167;-7575.877913937321;-4898.183631680445;-4190.30388478087;
60050.04019141677;60864.3142419236;-8765.68362303777;-12298.846220832613;47503.71545597499;-17273.741039483673;-2353.6386911438335;31739.052443391378;496.2534303967274;34711.745048969395;31240.720300760306;24310.00313878097;-302.7990821360448;-7555.7166404386335;-4871.026262167247;-4156.955082053552;
60467.01198423052;61847.612184001475;-8779.586408088971;-12371.891721712556;48799.98252391607;-17236.681847176773;-2271.026643637019;32325.15988649844;472.89585744093154;34447.16744985193;30986.022172692083;23798.505818665722;-305.3248292594945;-7555.895454394276;-4881.598637294607;-4170.96962582703;
60123.711541141456;61052.18065407046;-8755.893558966347;-12282.976482269345;47897.486138044136;-17263.459237034233;-2321.6756965727445;31886.909232963233;523.9025382879422;34786.1093027722;31319.19727554289;24463.827844122392;-300.4968524571481;-7545.121913566818;-4867.651148754496;-4157.87150357622;
60406.841088156834;61690.30060652502;-8779.206428433232;-12365.096791398144;48427.9824409464;-17243.007390857627;-2279.9673414191416;32206.51682692967;482.12712790097333;34410.309423245126;30943.620913460367;23693.11734355895;-289.2092215072181;-7539.891605364276;-4858.777506205739;-4146.58387262629;
60192.91254197509;61235.21908941497;-8769.751640528637;-12299.136793510532;48313.38504712404;-17278.881940708394;-2330.3258216769486;32026.25000789762;521.7567708202328;34827.28121605888;31365.487738309832;24563.986011026624;-320.16638757781834;-7561.952777141664;-4887.767718764272;-4175.641140418189;
60316.40593009066;61477.511999310496;-8775.719556298203;-12366.102619898633;48013.51404351164;-17252.46217876222;-2283.856544954365;32057.1177669904;464.73747071474446;34353.51364058419;30883.047685986483;23574.60839445691;-293.76897737610074;-7552.699154937167;-4863.672538241451;-4150.473076161513;
60276.21749356002;61439.31286803638;-8759.760410757115;-12300.232028988843;48729.28395620394;-17267.03551614708;-2313.338495890915;32187.964879031766;540.3087187181376;34856.85257397325;31401.943433516437;24660.29967788454;-322.4015620233491;-7563.651509720267;-4890.7405007768275;-4182.033739332407;
60243.896871077646;61263.73991533994;-8776.121887698398;-12358.950061672935;47637.11066688427;-17269.047173148057;-2300.5085945735686;31926.583579371403;459.10483111200705;34336.7051287538;30858.237249641094;23507.08377445743;-281.5872766479584;-7544.272547277516;-4849.948567145892;-4133.10577071974;
60358.874244555744;61634.600059342396;-8756.63116653337;-12296.67810162045;49104.50269037518;-17257.826597431493;-2301.179146907228;32321.53890389668;535.5254454047019;34874.55515558185;31418.59548313564;24688.753448576146;-327.5201115036144;-7567.540713255491;-4900.3070474036995;-4181.0726143208285;
60146.80089316379;61064.898796665526;-8776.837143520968;-12352.646869736538;47275.88412474205;-17270.70120223775;-2281.107280386362;31778.369161888262;464.31278757009363;34327.384451315935;30839.327673831904;23488.88945447081;-265.02463400657587;-7535.309497750938;-4834.615270449552;-4117.236032156472;
60425.34833256583;61816.96794235324;-8758.06167817851;-12313.352502984108;49418.34353427214;-17279.55249304205;-2321.8098070394763;32438.349120420116;531.5468348916572;34872.16351892513;31415.93562554546;24708.355928463454;-335.70084997425676;-7578.202495360672;-4911.169995208978;-4194.729530183021;
60086.36177615664;60917.310228027134;-8768.388184116862;-12334.407846261007;46995.05680740557;-17260.70997246623;-2266.6457017237785;31668.64444835716;463.686938725345;34338.582675288046;30853.00694143855;23486.65428002528;-263.16943921678535;-7531.196776771161;-4833.631793693518;-4128.635421828678;
60500.316083468926;61993.12204040552;-8766.577692815983;-12321.510889710295;49682.49645024496;-17272.578748771997;-2283.2083443651613;32551.53835434179;539.5040559177465;34852.672797760104;31409.386564420056;24678.337535659975;-329.4647132712261;-7566.356070799359;-4903.860974772093;-4181.8996288656745;
60032.829348186184;60775.063726313565;-8763.224931147686;-12326.33886651264;46814.63352616233;-17270.343574326467;-2280.3473210748816;31593.319069542777;463.3516625585154;34367.08114946856;30882.041857485994;23568.551071709524;-262.23066594966247;-7527.821663358411;-4824.422874977931;-4110.731674519977;
60539.319877543436;62105.10428012661;-8770.958634729222;-12338.274698051775;49826.03935313694;-17272.109362138435;-2293.736016003611;32609.54113120331;525.0424772551629;34802.26961401339;31360.235078362835;24603.526246968064;-332.19162609477354;-7575.699099981678;-4914.92508827747;-4198.663437207155;
59984.84015284064;60661.025126102584;-8759.626300290383;-12322.829642633158;46709.803844666945;-17280.491266309175;-2301.8720509853424;31538.46788864945;462.7705172026774;34400.27348998469;30913.6472241458;23635.405139375347;-267.3715671743831;-7540.8080268869435;-4836.604575706074;-4113.8609187437205;
60571.43933432572;62169.946690791454;-8768.030556205578;-12350.67991622447;49890.59119112387;-17276.646766262864;-2261.4824487546025;32652.098852646217;518.2028434518389;34749.67595931005;31304.690993391396;24508.888960944292;-338.51716977562546;-7583.388100074304;-4916.8026348117155;-4193.299018537881;
