Año;Mes;Dia; Hora
2020;09;27;19-16-18
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
-12709.492469965515;-25650.325495043457;-16062.924690595233;-9607.942057602651;3243.036954764957;28647.85088871132;-31822.044470553934;-12787.075374969885;-24203.74294564044;-3124.148026007179;-1773.4097568285176;-19196.214580084634;-12756.76640948849;-23210.565532513327;-12266.1456186945;-26435.296408569386;
-12784.773145290988;-26739.19072618374;-16069.406696487273;-9642.028467896995;3027.9461178715374;28389.53177804134;-31913.932492009702;-12933.881632552342;-24307.902074802172;-3465.6379777953603;-2248.0490503369633;-19315.192915820233;-12715.303923523894;-23192.30415729334;-12328.149357813521;-26440.99610340549;
-12690.828763345333;-26546.719854679093;-16007.626474812803;-9599.448394709634;2620.764389129208;28112.90658866246;-31825.732508389057;-13154.403943348401;-24254.95079218755;-2898.864793642139;-1610.7561124272481;-19256.363124413863;-12757.347554844328;-23229.810384489345;-12303.182459256943;-26467.48292058503;
-12753.413647820193;-27372.817978002786;-16051.771170112035;-9619.14028157476;2798.8183854601843;28195.697450124917;-31886.238680629576;-13085.627625659423;-24318.89913307418;-3492.3930159083625;-2336.539606635524;-19331.10735787241;-12699.23301926053;-23171.807607627823;-12331.747988670826;-26419.717242684037;
-12705.826783874845;-26264.305563486287;-16025.910201777246;-9609.99841809254;2744.7271638783413;28209.466124709386;-31846.519630732495;-13087.348709982482;-24267.646583038164;-2916.6791339730185;-1605.9504873693572;-19265.549691384997;-12783.789668534955;-23260.454626137573;-12322.002628088312;-26493.790923808923;
-12806.141412990262;-28045.69489308535;-16016.678931317203;-9601.907086599718;2266.4221842792253;27887.891577230883;-31732.548085754883;-13359.905881870494;-24294.647490340172;-3174.4394510316197;-2093.12910951723;-19273.730429855637;-12676.300129449384;-23150.752264350926;-12292.364214940575;-26382.45688467704;
-12800.665235598712;-27159.962315554898;-16011.850954514857;-9610.75837740402;2402.1866801007604;28053.987390278267;-31723.339167039296;-13265.983851669294;-24255.196661376558;-2900.8764506431166;-1708.43323569694;-19210.51969653603;-12715.594496201813;-23183.274052533397;-12258.23310115732;-26418.599655461272;
-12798.854744297832;-26845.74149200219;-16016.254248172552;-9609.685493670166;2505.7423121621982;28142.366187854554;-31727.407184530162;-13206.684673629365;-24258.929402700593;-2873.0485287962592;-1657.47125833884;-19212.33018783691;-12736.51572901198;-23208.39741330116;-12268.00081348429;-26437.196306848087;
-12885.914788951253;-27092.460047299868;-16074.480542478626;-9639.681534729187;2913.3263723047226;28425.09340346973;-31791.10965622779;-12985.558865733012;-24280.09650469977;-3438.391201304341;-2303.9954667085967;-19241.968600984645;-12672.32151893634;-23141.14101423514;-12265.832694272125;-26379.640564875674;
-12812.757529349034;-26530.090156804345;-16031.542841379982;-9618.179156563183;2620.6973338958423;28247.44173853895;-31731.296388065388;-13131.895736681909;-24239.863364680215;-2860.822124579206;-1611.7842926721924;-19190.850161415357;-12740.13671161374;-23208.55387551235;-12256.109685434067;-26435.36346380275;
-12846.329849520906;-25726.008501769127;-16069.205530787174;-9638.206319595138;3167.53276199493;28668.68271454367;-31778.458568866085;-12815.216221239118;-24225.42413776209;-3049.98493790447;-1774.2814748622745;-19176.99207985307;-12747.71395298409;-23208.755041212447;-12252.37694411003;-26445.064120896357;
-12872.861370189354;-26356.394750642154;-16089.724432197147;-9646.05178189895;3160.2907967914102;28580.393323945205;-31797.144627230722;-12840.16076805124;-24253.11794914221;-3348.3807263828194;-2141.118304862774;-19211.27965584751;-12703.725719896045;-23163.515110434906;-12259.082467446622;-26399.980652330003;
-12808.331883946883;-26353.84665177425;-16023.451509887162;-9613.731159416577;2753.8466756161065;28261.612744523616;-31721.551027482874;-13068.617948128933;-24206.961596842004;-2858.251673966846;-1585.565696426117;-19187.47504800261;-12738.169758101674;-23204.21763708802;-12257.048458701189;-26431.362501545253;
-12878.337547580904;-27968.559022970087;-16001.144468920766;-9615.988685606562;2238.504855454547;27785.967622514683;-31731.877533421226;-13362.02929759375;-24291.09356297178;-3066.301711356844;-1951.6649188595916;-19260.63230760483;-12667.493542133992;-23147.220688726986;-12279.91429327897;-26399.22069301852;
