Año;Mes;Dia; Hora
2020;06;07;20-58-22
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
0;-1;-3;-1;-5;-8;0;-1;
-1;-1;-1;0;-1;6;-2;-2;
-1;-1;0;4;5;-4;1;0;
1;1;-6;-9;-11;0;-4;-2;
-1;-5;3;3;6;11;2;2;
0;-1;-2;-2;2;-5;-2;-1;
-1;0;-2;-1;5;18;2;1;
2;1;5;0;-6;-14;-3;-1;
1;-1;-2;0;6;13;2;-2;
-1;1;1;1;1;-11;-1;1;
-2;-1;-5;-3;-5;-4;-2;-2;
0;-2;-1;-3;-7;-9;-5;-2;
1;0;-1;0;-6;1;-1;-2;
-3;-5;-6;-1;4;12;0;-2;
-1;0;0;-3;-8;-17;-4;-1;
-3;-3;-2;-1;1;0;2;2;
-1;-1;-4;-3;0;-11;-6;-2;
0;-1;-1;-1;-5;-4;2;-2;
-2;-1;-1;1;3;8;-1;0;
-2;-2;-4;-5;-4;1;-2;-1;
0;-1;-3;2;0;-4;1;1;
-1;1;4;0;-1;-10;-1;-1;
-3;-1;-4;0;-2;5;-2;-3;
-1;1;6;1;3;-11;0;0;
-1;-3;-4;0;5;6;2;-1;
2;1;3;3;3;0;-3;-1;
-1;-2;-2;-3;-3;3;-3;-3;
1;0;-2;1;1;5;2;1;
0;-1;2;-2;-4;26;1;-2;
-1;0;2;1;6;-19;2;0;
1;-1;-4;-2;-17;-27;-8;0;
2;-1;1;-1;7;14;3;0;
-3;-1;-2;-3;-9;-19;-4;-3;
0;-3;-6;1;5;23;2;-2;
-1;-1;2;3;16;8;-1;1;
-6;-1;-6;-6;-6;7;-2;-3;
0;-5;-5;-1;-4;-19;-5;1;
-2;1;2;-4;-12;-13;-4;-2;
0;4;8;7;15;20;6;1;
-3;-4;-9;-3;-9;-12;-4;-4;
-1;-1;-3;-3;0;6;-1;-3;
1;-2;-4;0;2;-7;1;0;
1;-1;0;0;-6;4;5;2;
-1;0;4;0;-1;5;-2;-2;
0;0;-7;-4;-5;-6;-1;0;
-2;-2;1;0;7;11;-1;0;
0;-3;-7;-3;-6;-1;2;-2;
-1;1;-4;-3;-10;-26;-3;-2;
-1;-1;3;0;-2;-10;-3;0;
0;0;-2;-2;2;16;-1;0;
1;0;-5;-1;-3;-13;-7;-3;
-1;1;10;-2;-4;3;2;-1;
1;2;3;5;4;-7;3;2;
-1;-3;-8;-8;-8;-11;-3;-2;
2;-4;-8;-1;5;4;-2;-1;
0;-1;-2;0;-4;-11;0;0;
0;2;7;-1;1;9;1;0;
0;-5;-5;-4;-6;-15;0;0;
1;0;1;0;7;9;0;0;
-3;-2;3;-3;1;9;1;-1;
-2;-2;-13;-3;-3;15;-1;-1;
1;4;12;2;-9;-41;-5;-1;
-1;-3;-6;2;8;10;3;3;
0;3;9;-1;1;19;1;1;
0;1;3;1;-5;-11;-5;-2;
-3;-1;0;-1;-1;-4;4;0;
-2;-1;-5;2;6;20;0;-2;
