Año;Mes;Dia; Hora
2020;11;29;14-49-20
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
-1521.4608933282964;-16921.276381167936;22491.286395941544;7677.958330864708;8659.915168275258;20799.72872730836;-5125.277355346365;1997.2177740595073;30782.822463848886;42610.20333888571;-36716.607119632616;-18006.587684939826;35664.555211610226;-35867.59845824223;-26286.791418408327;-13044.813340284032;
-1667.1272119435325;-17058.717257823617;22446.135872141826;7741.2584711621375;11112.616790845012;21776.835236172108;-5184.9341612975795;3539.309327520052;31361.665590007975;42932.96252882034;-36868.509574950884;-17786.04302239931;36021.62432928375;-35965.14147104519;-26337.64163704415;-12577.304253256829;
-1492.4036255363972;-16909.83228800682;22482.010421992592;7658.869941099876;8578.688928924672;20698.028290036713;-5133.547500794828;1971.4685644469935;31039.264027984624;42773.25931468717;-36722.28446272427;-18000.61976917026;35743.65803523756;-35879.84721420374;-26289.42892425405;-13003.90964793082;
-1689.1660319764653;-17065.3780776713;22447.67814250924;7754.825980046508;11156.87324486652;21870.980783817864;-5156.390983628152;3531.0838855604993;31102.11713339295;42767.246695428694;-36845.35316769519;-17784.27723458734;35931.43504040659;-35941.314511455836;-26313.032366398857;-12609.78133795039;
-1473.0693665825568;-16912.492145597;22469.4040381198;7627.085760484429;8569.859989864826;20605.827344158573;-5153.529960337873;2003.8785939071888;31306.300318992176;42949.61457843955;-36752.14639331656;-18001.51383894847;35838.29532126133;-35904.43413310458;-26309.210218097;-12956.926281085764;
-1703.627610639049;-17068.730839339594;22463.88315723934;7772.126230254917;11107.855869276033;21916.131307617583;-5133.122817650177;3468.253131896631;30831.14693536126;42585.32584730695;-36823.31434766226;-17794.179057381043;35828.25938800089;-35919.432153634094;-26296.44737201302;-12662.017364742442;
-1482.5912097205176;-16942.577593633843;22451.58969778892;7600.263667138061;8655.154246706277;20550.104445231493;-5198.300504481853;2104.550850933892;31561.981923816435;43108.73664721688;-36793.787693236794;-18006.498277962004;35933.53610438539;-35940.5322003999;-26344.481270847475;-12912.17808868624;
-1723.8112358821913;-17086.120496525826;22451.656753022286;7774.0708320225285;10990.084527741019;21911.75036570434;-5128.898337948124;3394.3582647273856;30605.14844717365;42453.294092809454;-36813.636042313105;-17823.19162168403;35735.74551770038;-35914.93945299857;-26294.77099117887;-12736.716894712079;
-1469.3366252585204;-16940.856509310783;22443.855994207384;7591.345321100393;8809.202469492253;20560.36389593648;-5209.9457633430675;2234.235672263583;31803.783095333947;43266.89759098263;-36819.06751621575;-17987.387536452716;36026.117029919275;-35963.42038672214;-26358.56286985432;-12854.845864158377;
-1704.9910670508227;-17054.582185099385;22474.410828877786;7797.227239278226;10779.017004849555;21891.723202672387;-5090.9003723741025;3231.0787714813678;30398.707735384436;42318.80364642187;-36775.74983546136;-17831.52882236586;35647.18790616845;-35882.328257838286;-26266.272516998353;-12792.730366317079;
-1478.411433507375;-16956.68154438514;22439.899735438794;7596.419167091748;9045.259242684751;20616.623236730487;-5235.538510744394;2401.7843487005653;31987.42502777875;43371.704920733566;-36839.094679247704;-17957.145626204685;36106.650365191745;-35977.70315142908;-26362.541480367363;-12776.167723675695;
-1702.7335408608367;-17048.1225309518;22477.920052757272;7789.87351535243;10516.763987155437;21809.759355754777;-5089.514564217873;3063.887722955671;30237.663416583946;42219.07016266229;-36753.08516658368;-17857.881529078666;35573.85183261059;-35868.9172111651;-26248.078197011735;-12855.359954280848;
-1489.2296778237437;-16976.39578299472;22435.317627825454;7586.226771620128;9309.814490057766;20702.744508116783;-5243.920414915135;2585.5603916121;32105.21872105822;43450.53952342743;-36870.72239765196;-17939.152471918165;36174.800834035974;-36002.133608118726;-26373.627945617194;-12722.098853838308;
-1685.2991801856972;-17031.51518482151;22485.944329016726;7778.1835530023045;10221.855070812115;21692.18917991986;-5074.7624128773705;2878.1894300209797;30133.81721184459;42162.85552535719;-36735.56139893072;-17884.658918936126;35526.17556168742;-35855.70733019201;-26239.629237607627;-12918.235411433627;
-1507.8710326994697;-16987.191675566635;22428.90267716678;7587.299655353982;9627.43277876768;20826.014378787804;-5249.173074862132;2786.12259460957;32172.765692802157;43488.22456457908;-36887.77677867136;-17909.35759655924;36222.85708461489;-36009.04029715542;-26382.568643399318;-12661.41386764215;
-1658.9688252173455;-17015.198411369136;22484.58087260495;7758.446962648269;9902.985084412705;21551.6861142738;-5068.705090129983;2694.323980131624;30118.081583748055;42160.73210963394;-36725.167837759;-17915.68314024009;35503.5779480431;-35848.24184754394;-26246.625333622138;-12983.6142639654;
-1522.1761491508662;-17006.682396731663;22426.779261443528;7606.432748607725;9959.669108351363;20998.16751458258;-5239.047734623878;2985.4554516619983;32176.833710293024;43478.6133144633;-36894.325839796766;-17868.699773395037;36248.718052949676;-36005.53107327593;-26375.259622962432;-12609.110785616731;
-1623.630717233505;-16995.12654484827;22494.415640165287;7746.086447964483;9565.071411737372;21405.684519491737;-5059.429116181031;2481.848297339475;30136.05238629012;42173.092624317724;-36700.93854676945;-17931.195250892073;35492.73735198228;-35829.5557891793;-26235.18124046102;-13018.594744037957;
-1556.888408289958;-17040.925269237196;22421.213677074156;7624.336495916426;10287.457440788441;21178.456685359084;-5236.052600866867;3167.175134083645;32098.64730818836;43420.007040501485;-36903.53475851235;-17843.86698530519;36247.08637560444;-36005.17344536465;-26377.293631707864;-12576.588997434259;
-1593.3664552410194;-16987.012861610994;22482.36804990388;7729.590860556467;9258.181960366006;21236.191241287142;-5064.078279027734;2306.431806854225;30239.049224740178;42247.054546720334;-36700.91619502499;-17961.21364369555;35508.60709054555;-35838.78705963935;-26248.636990623116;-13055.586881111489;
-1590.952466839846;-17072.687098108185;22419.380834028823;7654.42194395327;10586.166153689164;21351.727408376624;-5228.296545540875;3332.622746541828;31968.180175802732;43328.58840567928;-36905.83698819125;-17820.86704026068;36211.3459362204;-36005.53107327593;-26372.532710138883;-12549.990421532444;
