Año;Mes;Dia; Hora
2020;06;09;21-53-56
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-5;2;3;7;2;-7;-12;-18;
6;-4;2;-8;-7;3;-2;11;
6;3;-13;1;-5;-7;7;12;
-9;3;8;0;-1;-6;-3;-29;
-5;-12;-15;-10;-3;2;16;36;
-6;-4;0;0;2;11;-39;-36;
-2;3;2;-3;-14;-25;-9;4;
0;0;-2;4;14;5;23;20;
-6;-2;0;-8;-6;8;-6;1;
-4;-4;3;2;-9;-10;-15;-12;
4;2;-6;-4;7;13;12;8;
-1;4;-1;2;-9;-7;-19;6;
-8;-6;7;-5;2;-4;6;1;
6;-3;-15;3;3;4;13;12;
8;7;3;9;-3;-7;-14;-18;
-1;-3;5;-6;-5;5;16;26;
-12;-2;-1;-2;-3;-3;-7;-22;
14;6;-10;-6;3;12;15;27;
-13;-2;12;0;-1;-14;-17;-36;
0;0;11;9;2;5;-2;9;
6;0;-12;-15;-4;-8;-14;10;
-5;8;8;8;2;4;15;-10;
-9;0;4;-5;0;1;7;-11;
19;6;-1;-2;-4;-7;-7;25;
-12;-6;-8;-4;-4;-3;-24;-36;
8;2;7;3;-2;0;18;15;
-6;-1;-8;-5;-5;0;8;6;
6;2;-1;1;0;0;8;5;
3;-3;1;2;6;9;11;22;
7;-14;-8;-3;-5;-10;-7;-19;
-4;17;-4;-8;-1;5;13;14;
18;-5;7;8;-1;-1;-25;-2;
-20;-3;-16;-12;-6;-7;-9;-22;
9;3;10;3;4;1;-5;11;
-22;-15;-6;4;3;1;-3;-23;
10;-3;-8;-2;-1;-3;1;10;
-10;0;11;2;1;3;11;27;
8;-3;-12;-8;-6;-10;10;15;
24;17;22;6;-1;-3;-29;43;
-14;-3;-5;-5;-2;5;15;-19;
-1;-1;4;3;-3;-4;-12;-3;
-16;0;-15;-3;2;4;-2;-20;
1;-11;4;1;-1;-6;-10;-30;
14;3;-2;5;1;1;7;15;
6;11;5;-4;-1;1;1;24;
-10;-12;-4;1;1;-1;-22;-13;
-3;-4;-9;-3;-5;0;18;-1;
26;2;7;1;1;1;0;36;
-1;1;-8;-6;-1;-3;-8;-31;
-4;-2;-1;2;1;-1;29;21;
-6;1;0;-3;-1;10;12;-25;
-10;-3;-2;-3;0;-5;-28;0;
0;-1;-1;4;-5;-7;5;-2;
6;2;7;2;-1;6;11;33;
-4;-6;-7;-5;-5;-3;-12;-4;
-10;-9;-3;1;1;-10;-17;-23;
-4;-1;-2;-2;0;-4;9;1;
8;2;-6;2;-1;9;15;15;
-16;-5;-2;-3;-3;-2;-14;-25;
7;2;7;0;-1;3;7;33;
0;1;2;0;5;1;-21;-14;
-3;-1;-1;4;3;-3;-1;-10;
-11;-3;-4;-2;-4;-7;-13;11;
4;0;2;-1;-2;6;7;-14;
3;0;-3;-2;-1;-2;-2;10;
-3;-2;-2;0;2;-2;-3;-17;
-1;-3;-5;-2;-2;-2;-4;5;
-6;-2;3;1;2;3;-1;-21;
10;5;1;-4;-13;-8;10;18;
3;-5;-8;-3;7;7;-9;14;
-1;7;9;6;2;-1;3;-9;
-5;-11;-5;-2;0;1;0;-8;
6;8;3;5;5;8;35;6;
-15;-5;-8;-4;-6;-8;-1;-9;
10;4;1;-2;0;0;5;17;
-2;-4;2;0;0;-3;-11;-15;
-6;-3;-3;-3;1;1;-16;-1;
8;2;3;0;-9;-11;2;13;
-7;3;4;4;2;3;10;1;
-1;-1;-5;-2;-1;0;-1;-8;
-8;-8;-6;-6;-2;-2;2;-16;
-2;-5;-7;-2;-1;-2;-14;-16;
3;17;8;1;3;3;3;4;
1;-5;-4;2;1;4;7;-1;
-6;-3;6;0;-4;-5;-8;-6;
-1;-5;-10;-3;0;-4;-1;9;
-5;0;1;-2;-2;-4;-14;-17;
3;4;0;1;3;5;8;-7;
-7;1;0;-1;3;2;-2;9;
10;0;3;0;-8;-4;13;16;
0;-3;1;-1;2;4;8;-12;
2;2;-4;-2;-1;-1;-3;14;
-2;-3;-3;-4;0;0;-16;-13;
-1;3;3;0;-1;-4;14;4;
5;-4;-14;-4;-1;-1;1;1;
-1;-1;12;1;0;2;7;21;
0;-1;-3;5;-2;-2;-3;-8;
-1;4;9;-1;1;-1;-2;-19;
-11;-10;-8;-7;-6;-10;-26;-10;
11;2;4;1;5;8;18;4;
-5;-1;-6;-3;-3;-4;-6;-8;
-10;6;5;-1;0;-1;7;5;
14;6;4;2;1;3;17;15;
-8;-4;-7;-8;-7;-11;-33;8;
6;-2;2;-2;-5;-3;-8;17;
3;-1;-9;0;5;2;7;-25;
-10;-9;-2;-3;-5;-8;-12;-12;
4;8;2;5;4;10;27;5;
1;-3;-2;-1;-1;0;16;3;
-4;-1;3;-3;-1;-4;-23;-2;
-1;-2;-11;-6;-4;-5;-6;-13;
-12;-6;5;1;-1;-1;-10;-20;
6;-3;-2;2;3;1;3;-3;
0;2;-4;-5;-14;-10;7;7;
-9;-2;13;3;6;4;-4;-6;
3;2;-8;-1;0;-2;-1;5;
-1;-8;0;-2;-2;0;-5;-8;
-6;6;5;1;3;4;14;-5;
-4;-2;-4;-2;-3;-5;-12;-5;
-7;-5;-5;-1;0;-1;-3;-8;
1;1;5;1;-1;1;7;10;
2;-7;-8;-1;0;-2;-7;18;
-5;-1;5;0;-2;-3;-10;-6;
0;1;-4;1;3;1;-4;-10;
-5;-1;-4;1;-1;1;8;-15;
8;5;7;0;2;4;1;15;
-5;-4;-10;-2;-3;-2;-3;5;
-2;-3;-1;-1;-1;-3;-3;15;
-1;-6;-2;-4;-1;-2;-6;-12;
-2;-3;1;4;0;-1;2;-9;
8;1;-2;0;-1;-3;-7;11;
3;1;-2;-6;-8;0;18;-8;
-15;1;-1;-1;-4;-4;-14;-10;
5;-9;-7;0;0;-2;14;21;
1;13;0;-3;-7;-3;-11;7;
1;6;6;0;4;0;-9;-6;
-3;-4;-2;4;-1;2;9;-6;
-7;0;3;2;1;-1;1;-10;
1;-8;-5;-4;0;-1;-11;9;
