Año;Mes;Dia; Hora
2020;11;29;15-57-01
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
-21637.695626937824;-22670.368572517466;-22882.95601403189;-26003.14778127048;-42789.46432941727;-15926.53434592895;-550.5234659342129;-56928.574374744225;-38419.60888142692;-13306.373453900034;-32034.05076671252;-11098.110508693519;-168.50980144855995;-37393.44029348377;-37441.27302661813;-4545.406048942334;
-21657.923955669878;-22683.1537703459;-22863.599403333596;-25990.720211353328;-42546.72438463264;-15886.502371609495;-582.6205709720339;-56933.78233120231;-38509.28408018161;-13274.253997117758;-32061.34224669245;-12148.195463203843;-284.3588929604164;-37358.45981341122;-37480.32152418155;-4559.554703182543;
-21633.247629791218;-22674.190720819322;-22884.073601254655;-26005.472362693832;-42766.419680883846;-15924.366226716786;-555.9772915813079;-56930.63073523412;-38402.621555640886;-13305.814660288652;-32024.886551485844;-11041.158263821395;-155.00934779755448;-37390.71338066022;-37433.27110210313;-4545.495455920155;
-21631.146565812418;-22664.95945035928;-22856.066865452154;-25980.52781588171;-42560.47070747265;-15879.573330828349;-561.9228556064196;-56922.36058978565;-38517.10719074097;-13270.744773238275;-32065.365560694405;-12171.88831232647;-290.68443664126835;-37352.33543543046;-37483.18254747183;-4558.3253572375015;
-21612.929894081342;-22643.345313471;-22866.214557434865;-25990.407286930953;-42719.45866578325;-15898.281740937442;-539.3475937065595;-56922.718217696936;-38371.03854072554;-13298.997378229784;-32008.56977803347;-11012.883307085433;-145.3086907039512;-37382.3761799784;-37415.50146526116;-4526.094141732949;
-21616.215600516272;-22642.518298926152;-22863.80056903369;-25983.925281038915;-42590.310286320484;-15884.960101242079;-556.3796229815034;-56928.015581132844;-38518.62710936393;-13268.554302281655;-32067.712493862215;-12159.728963342783;-293.3442942314499;-37350.86022029641;-37483.584878872025;-4547.507112921133;
-21619.836583118034;-22644.10527278248;-22882.77720007625;-26003.75127837077;-42697.10692132794;-15905.590761374327;-559.9782538388079;-56943.326526084726;-38377.0064564951;-13319.717445339853;-32022.830190995955;-11039.370124264971;-161.55840892295944;-37403.342116277476;-37433.47226780323;-4539.773409339597;
-21588.342975180505;-22625.508621395664;-22855.44101660741;-25974.269327434224;-42615.88068197736;-15882.52376109645;-539.1911314953722;-56916.325618782714;-38528.61833913545;-13270.208331371348;-32074.440368943262;-12123.765006514193;-293.0760732979862;-37353.81065056451;-37495.02897203314;-4552.715069379219;
-21597.529542151635;-22636.90801106787;-22868.740304558316;-25993.04479277668;-42650.74940332764;-15897.119450225766;-560.5593991946458;-56939.482026038415;-38364.869459255875;-13305.837012033107;-32011.922539701765;-11087.918113221898;-154.00351929706565;-37390.71338066022;-37423.816314198535;-4527.323487677991;
-21575.848350029988;-22615.80796430206;-22865.43224637893;-25977.979717013804;-42653.85629580692;-15890.346871655807;-538.0958960170623;-56921.28770605179;-38534.742717116205;-13282.322976866124;-32082.01761031361;-12042.449360185787;-291.7796721195784;-37361.43259542377;-37500.3486872135;-4555.129057780392;
-21595.003795028188;-22636.48332792322;-22862.303002155186;-25987.970946785324;-42612.39380984233;-15890.413926889174;-563.3533672515592;-56939.16910161604;-38357.381624863345;-13302.260732920258;-32004.747629731613;-11160.136599556996;-158.2279989991187;-37381.63857241137;-37415.2332443277;-4520.550909108032;
-21554.994172453185;-22610.44354563279;-22859.75490328728;-25971.90004252196;-42682.31006649853;-15894.079612979844;-530.0045645242411;-56912.011732102845;-38522.13633324341;-13278.992566942283;-32075.11092127692;-11932.165853043301;-280.1567650028187;-37357.00695002162;-37491.02800977564;-4554.369098468912;
-21579.8940157764;-22625.843897562492;-22850.52363282724;-25977.599737358065;-42570.819565155456;-15876.95817672708;-575.5350679797016;-56933.402351546574;-38363.99774122211;-13292.649482804476;-32002.28893784153;-11273.348185223125;-160.4631734446494;-37372.27319148459;-37419.25655832965;-4533.492569147655;
-21535.21287861024;-22595.065545447535;-22855.731589285326;-25966.5803273416;-42708.528662744604;-15890.771554800458;-525.5342156331797;-56905.35091225516;-38508.92645227032;-13275.259825618246;-32066.080816516976;-11796.915447344238;-252.77587804506757;-37351.0166825076;-37483.51782363866;-4555.2184647582135;
-21567.041762714598;-22620.323016682032;-22845.293324624698;-25971.430655888398;-42532.97806179262;-15859.680278263126;-575.0880330905954;-56931.07777012322;-38365.919991245275;-13285.876904234517;-32000.09846688491;-11383.497581898879;-170.45440321617167;-37363.421900680296;-37416.060258872545;-4525.647106843842;
-21519.477250513704;-22586.683641276795;-22857.318563141653;-25966.1779959414;-42730.36631707744;-15880.109772695278;-521.6897155868669;-56904.72506341041;-38486.4853008372;-13278.72434600882;-32056.49191814565;-11634.73118957653;-232.279328379551;-37355.62114186539;-37470.97849499923;-4546.322470465001;
