Año;Mes;Dia; Hora
2020;08;27;21-13-08
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-2;-2;-4;-2;-5;-7;-2;-2;
-1;-1;0;-1;3;0;0;0;
-1;1;-2;0;3;6;0;0;
0;0;0;-1;-11;-2;-1;-1;
-1;1;-1;3;16;11;3;-1;
-2;0;1;-2;-1;-13;-5;-2;
-1;-2;-1;-2;-6;-12;-4;-2;
0;-3;-1;-1;1;14;-3;-3;
-4;-2;-1;-1;-8;-6;0;2;
-2;-3;0;-1;1;-3;-1;-2;
0;-1;-2;0;-11;-1;0;1;
-4;-2;1;-2;11;8;1;-5;
0;-1;-1;-2;8;6;-3;-3;
4;0;-3;-1;3;-7;-1;4;
0;-2;-1;-3;-6;-2;-2;-2;
4;0;-3;-2;-10;-3;0;10;
-7;-1;0;0;0;-5;-1;-9;
-2;2;-1;-2;0;5;-2;1;
-1;-2;-3;-1;8;4;1;1;
-3;-1;-2;-1;-1;-9;-4;-3;
4;0;-2;-3;-9;-6;-1;8;
-3;-3;1;4;5;8;0;-5;
-5;-2;-3;-3;-6;-23;-6;-6;
-4;1;1;1;-3;13;2;3;
1;0;-1;3;-3;-8;0;-3;
1;-1;-2;-1;4;12;-1;1;
-1;-1;0;0;2;-12;0;-1;
-1;-2;-2;-2;-10;-14;-5;-3;
-2;0;-1;-1;9;13;-2;-1;
1;-1;-1;3;13;-7;0;-2;
-1;-1;1;1;1;8;2;0;
0;-1;-1;-1;-5;-10;-2;-2;
-2;-3;-1;-1;-5;10;3;1;
-2;-1;-1;-2;-2;-5;-5;-1;
1;1;-1;-3;-3;-8;-3;0;
4;0;0;-2;4;13;3;9;
-9;-4;-3;-4;-8;-6;-2;-18;
-2;-2;-2;1;2;-3;2;3;
-3;-3;-2;-1;-4;0;-1;-5;
-1;-2;-2;-1;-2;-4;-5;-4;
3;0;-1;1;-2;1;5;6;
-3;-3;-2;-3;-7;-8;-7;-3;
2;0;-1;0;-7;-5;1;1;
-2;0;0;3;17;16;4;-2;
0;-3;-3;-5;-8;-1;-6;2;
-2;1;-1;-3;-3;-2;3;-1;
0;1;-1;-2;-14;-6;-5;1;
-1;-1;0;-1;-3;-5;0;-3;
-1;-1;0;-1;2;-10;0;0;
0;-1;-2;1;6;4;-1;-2;
-1;-1;-1;2;9;26;4;0;
-3;-2;-4;-4;-13;-26;-4;-5;
0;-1;0;0;9;5;0;3;
1;0;0;0;-4;-21;-3;0;
-1;-1;0;5;30;7;0;-3;
-2;-2;0;1;3;10;3;-1;
3;1;-1;1;-6;-1;-5;-1;
0;-2;-3;-4;-7;-7;0;0;
1;-1;2;1;4;-1;-3;-1;
-2;-2;-1;-1;-2;8;1;-2;
0;0;0;1;-3;-12;-3;0;
0;0;0;-5;-11;24;2;0;
-2;-2;-3;-3;-2;-14;3;-1;
-1;-2;0;-3;-8;2;-4;-1;
-1;0;-1;2;19;1;-1;-3;
-5;-3;-2;-2;-9;-15;1;-14;
2;1;0;1;17;18;0;-4;
-1;-1;-1;0;0;-8;-1;5;
0;-1;-1;-4;-12;-6;-3;-1;
1;-3;-1;-1;9;11;1;5;
-2;-1;-3;-3;-13;-13;-3;-2;
0;-2;1;-1;-4;-11;-2;-3;
-4;-2;-4;-3;6;-4;-2;-2;
-1;1;1;-1;-9;5;-1;0;
-2;-1;1;0;-2;0;-2;-1;
0;-1;-2;-4;-17;-1;-3;1;
-2;-1;-1;2;11;-9;6;-2;
-1;-2;-1;-2;-1;3;-12;1;
-1;2;2;0;-5;-7;1;0;
0;-2;1;-2;-1;-10;-1;2;
-3;-2;-2;-5;-12;-14;-2;-5;
0;0;-2;-1;0;10;0;0;
0;-2;-2;-1;-4;-1;1;1;
-4;-2;-5;-5;-8;7;-1;0;
0;0;1;-1;-4;-1;2;-3;
1;-1;1;2;3;2;2;1;
-5;-2;-1;-4;-3;1;-1;-2;
0;-2;-4;-2;1;6;0;-1;
-1;-2;2;0;3;-1;-2;-2;
-1;-3;-2;-2;-10;-27;-4;2;
-1;-1;-1;0;0;15;0;-2;
2;0;0;-1;6;7;1;9;
-7;1;-1;-2;-17;-3;-2;-17;
-2;0;1;4;8;5;-2;1;
1;-1;1;0;-6;-6;-3;-1;
0;-2;-2;-1;-1;12;-1;3;
-1;-1;-1;-4;-9;-5;-3;-5;
0;-1;-2;1;5;-1;0;-1;
-3;0;-2;0;-1;9;-2;-4;
2;0;2;5;10;-1;6;3;
-3;-3;-3;-2;-12;-3;-7;-4;
1;1;4;3;1;-4;-1;4;
-1;-1;0;-3;1;0;-1;-2;
-1;1;-1;1;8;10;0;2;
2;-2;-2;-4;-3;5;7;0;
0;-1;-3;2;1;-3;-3;0;
-3;-1;0;1;-2;-2;-2;-5;
-2;-1;-2;-3;-5;-1;-2;1;
-1;0;-2;-4;-3;8;2;-1;
-3;-1;0;0;1;-19;-3;-1;
-3;-2;0;-1;0;5;0;-3;
0;1;-1;-1;2;1;-3;0;
-1;0;-1;-2;-1;5;-1;-1;
1;-1;0;-1;1;-5;2;-1;
0;-1;-2;-1;-1;1;-1;-3;
-4;-1;-1;0;0;-9;-5;-2;
0;1;0;3;12;4;4;4;
-2;-4;-2;-4;-7;1;0;-2;
-1;-2;0;-2;9;-3;2;-3;
0;-1;2;2;1;20;4;5;
-2;0;0;0;-2;-24;-8;-2;
-2;-2;-5;-1;-1;0;-2;-1;
-1;0;1;1;-4;-1;1;-1;
2;-1;-1;0;0;-6;-5;-4;
-2;0;-2;1;7;5;3;2;
0;-1;-2;-4;-15;-4;0;0;
-2;-2;-2;-1;-3;-12;-6;-3;
2;-1;-2;-2;-3;12;1;1;
3;-2;-1;2;2;3;1;6;
-9;0;-1;-2;-3;-16;-6;-21;
-1;-1;-2;1;-1;1;2;1;
0;-1;-1;-1;4;13;-1;-2;
4;-1;-1;-6;-11;-3;2;4;
3;1;0;-2;2;20;-4;5;
-2;-1;-2;0;3;-26;-6;-3;
-1;-1;0;0;-2;-8;1;2;
-1;1;0;2;-5;8;0;-3;
-1;-3;-1;-1;-2;1;3;3;
-2;0;-1;-4;-10;3;-2;-2;
0;-1;-4;0;15;-9;-4;1;
-6;-1;-3;-3;-2;-3;1;-5;
-2;-1;-1;-2;1;-16;-5;-2;
0;-2;-2;2;6;9;7;2;
-2;0;0;-1;-8;-7;-7;-3;
-2;-2;-1;-4;-4;-1;-1;-3;
-2;-1;-1;1;2;7;0;1;
0;-1;-2;-4;-4;2;2;-3;
-3;-2;0;-2;-1;-6;-5;1;
-2;1;2;2;0;-2;0;-1;
1;-1;-1;-1;-1;-9;-1;0;
-1;-1;-3;-1;3;4;-1;-2;
1;0;0;-5;-11;-1;4;-3;
-1;-1;-1;-2;3;15;0;-1;
