Año;Mes;Dia; Hora
2020;09;27;19-08-28
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-1;3;5;9;0;-2;-2;-1;
1;-4;2;-2;4;2;2;-1;
-3;-16;-7;-12;-2;2;-4;-2;
0;10;6;6;-3;-3;1;-3;
-1;5;-1;-1;-1;0;3;0;
-3;-10;-2;-3;-2;2;2;-1;
2;24;2;4;5;2;1;0;
-1;-3;-2;-4;-2;-5;-4;-1;
-3;-20;-7;-5;-3;-5;-3;-1;
1;0;1;5;1;-6;-1;1;
-4;-9;-3;-5;-4;1;-1;1;
0;9;0;-6;-1;2;2;-2;
1;15;4;5;2;3;1;1;
-2;-22;-7;-2;-4;-9;-3;-1;
-3;-9;-5;-11;-4;-1;0;-1;
0;1;3;10;0;-3;-2;-1;
0;11;3;-6;-6;-3;-3;-5;
-4;-16;-11;-5;-1;1;-2;-3;
-4;-13;1;3;1;0;0;1;
-2;-5;-3;-4;-1;0;-2;1;
2;6;1;-1;0;-2;-1;2;
1;10;5;4;2;3;-1;0;
0;1;-1;0;-4;-4;-2;-1;
-3;-18;-9;-8;-1;-3;-1;-2;
-1;7;-1;-3;-4;1;6;0;
-1;-5;-3;2;0;5;3;-1;
0;20;4;-5;1;-3;-2;-1;
-2;-6;-4;-1;-2;5;0;1;
-2;-2;-2;-4;-1;-3;-6;-1;
0;0;2;5;-2;0;3;-2;
1;8;1;6;-1;1;-1;1;
-3;-6;-5;-12;-1;-2;0;-3;
0;5;3;11;-2;-3;0;1;
0;12;0;-10;-1;-1;-1;0;
0;-6;-1;2;-2;-1;-3;-1;
-1;8;3;5;6;0;0;0;
-1;3;-1;-6;-3;3;-1;-1;
-2;-17;-3;6;-2;-3;-1;-3;
-1;-4;-2;-8;-2;-4;-2;-1;
1;48;8;-1;-7;-8;-4;-2;
-2;-19;-4;-1;2;6;4;-1;
0;9;2;5;-1;-3;-1;0;
-1;-14;-3;-10;-2;0;0;0;
0;5;2;8;-1;-2;-3;0;
1;10;1;1;1;3;2;0;
-1;1;0;-7;-4;-4;-4;-3;
4;-2;-3;-1;1;0;1;1;
-3;-18;-3;11;0;6;1;0;
-2;1;1;-6;-3;-4;-3;0;
-2;-11;-3;2;2;4;3;-2;
-1;5;-1;-1;-2;-1;0;-1;
0;-14;-1;-7;-1;2;-1;-2;
-2;-18;-6;6;-1;-5;-4;-1;
2;23;8;0;5;5;5;1;
-4;-4;-1;0;-3;-2;-4;-2;
1;21;3;-1;-3;-1;-1;-2;
-7;-64;-18;-8;-5;-4;-5;-5;
1;8;2;3;1;0;0;-1;
-4;-10;-6;-4;-5;-4;-3;-1;
0;19;2;-12;-3;-4;-2;0;
-1;-10;-4;11;0;-2;-2;-1;
-2;-6;-4;1;1;1;1;-1;
3;0;0;-8;-2;1;1;0;
-1;1;-2;1;0;-1;0;-2;
0;13;2;-7;-4;-4;-3;-1;
-1;-6;0;0;0;3;0;1;
-2;-1;-3;4;-3;-10;-4;-3;
0;-16;-4;-5;0;11;5;-1;
1;22;5;1;3;-2;-3;0;
-5;-11;0;4;1;-7;-5;-2;
2;-1;0;3;-1;0;6;1;
0;7;0;-3;-4;-5;-2;-1;
0;-1;0;-2;-1;-3;-2;0;
0;18;0;-1;-1;0;0;0;
-3;-3;-3;-10;-2;-3;-2;-1;
-2;0;-1;3;1;-6;-3;-4;
-2;0;-4;-4;-5;1;1;-1;
1;10;4;4;1;-2;1;0;
-3;-3;-2;-5;-4;0;-1;-2;
-1;-5;-4;4;2;-1;0;-1;
0;2;-1;-2;2;1;-1;-1;
-2;-21;-4;-3;-3;1;-1;-1;
-2;20;1;-3;-3;-2;-2;-3;
-1;-6;0;2;0;-5;-3;-2;
1;8;3;4;3;10;8;4;
-2;6;1;2;-2;-5;0;-1;
0;8;4;-6;-3;-8;-4;2;
-3;-42;-13;-6;-1;-6;-4;-2;
1;-3;-1;5;-1;0;-2;-1;
0;5;1;-5;0;2;1;0;
-1;-8;-5;1;-2;-2;-1;-3;
1;20;10;4;-1;-1;-3;-1;
-5;-4;-7;-6;-1;0;-2;-4;
1;-7;-3;-1;1;-3;-3;0;
0;-4;1;1;3;4;3;2;
0;5;-3;-7;-2;-2;-1;1;
0;7;4;-4;-6;-4;-2;-2;
-1;5;2;-6;3;3;0;-1;
-2;-4;-1;6;1;1;-5;-1;
0;6;3;6;-3;1;3;0;
-2;-22;-7;-2;1;2;0;0;
1;31;6;0;-3;-7;-6;-1;
-4;-46;-12;-5;-2;0;1;-3;
-3;-5;-4;-8;-3;-6;-5;-2;
2;3;2;5;2;2;1;-1;
0;-2;0;2;-1;-1;0;1;
-1;7;-2;-5;-3;3;0;0;
2;16;4;0;2;5;0;-1;
-3;-12;-6;-5;-3;6;1;0;
