Año;Mes;Dia; Hora
2020;09;20;10-10-49
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
1;8;-2;-2;0;-2;-1;-4;
-2;-23;0;-1;-2;1;0;-2;
-2;15;-1;-1;-1;-1;-2;-1;
-2;-30;-5;-1;-2;-1;-1;-2;
1;61;14;3;1;0;-2;-1;
-2;-2;-4;-1;-3;-1;-2;0;
0;-19;-10;-4;-3;0;-1;-2;
-2;-20;4;0;-1;0;0;-1;
4;26;2;-2;0;0;-1;-1;
-1;5;-3;-2;-2;0;0;-2;
-3;-2;1;-1;-1;0;-1;-3;
1;4;-4;-2;-1;-1;-1;-2;
-1;-22;-2;0;-2;-1;-2;-1;
1;16;-7;-1;-2;-2;-2;0;
-6;-23;5;3;0;0;0;1;
-3;0;-4;0;0;-1;-2;1;
-1;-9;1;-1;0;-1;-1;-1;
0;-7;-3;-1;0;-1;-1;-4;
0;-5;-5;-1;-1;-1;-2;0;
0;26;3;-1;0;0;1;1;
0;-1;1;-2;1;-1;-2;-1;
1;4;-1;1;-1;0;0;-1;
1;-3;-4;-1;1;-1;-2;-2;
-1;-2;-2;-1;-3;-1;-2;-3;
-3;-9;-8;-3;-3;-1;-1;-2;
-5;-8;1;-2;0;-1;-1;-2;
-1;-8;-2;0;-1;-2;-1;-1;
-2;3;0;1;-2;-2;1;0;
1;-5;-2;-3;0;0;-1;-1;
1;6;-1;-1;-1;-2;-2;-1;
-3;-2;0;-2;0;-1;-1;-1;
-1;-12;-5;-2;0;-1;-2;1;
0;6;2;0;-1;-1;-1;1;
-2;-1;-4;-1;-1;0;-1;-1;
1;-1;0;0;-2;1;-1;-1;
0;-12;-1;1;0;0;0;-1;
-1;1;-2;1;-2;0;1;1;
1;4;-1;0;-1;-2;-1;-2;
3;7;-3;-1;-1;-2;0;1;
-4;-17;-3;-1;-2;0;-1;-2;
-3;4;-4;-4;-3;-2;-2;-2;
1;20;8;0;1;0;-1;-2;
-1;-13;-1;-1;0;-2;0;-2;
-1;2;-2;-1;-1;-1;2;-3;
-4;-13;0;0;-1;0;0;0;
-1;-8;-3;-2;-1;1;1;0;
-1;1;-4;-2;-1;0;-1;1;
0;-12;2;-1;0;1;0;-2;
-1;-13;-3;-3;-1;-2;-2;0;
1;17;-3;0;-1;2;0;1;
-3;-28;1;-1;-1;2;-2;0;
-2;-4;-6;-4;-4;0;-2;-2;
-1;16;5;0;-1;1;-1;-2;
0;-7;-2;-3;-2;-2;0;-1;
0;13;-2;-4;-1;0;-1;-3;
-2;3;1;0;-1;0;0;-2;
-4;-46;-6;-2;-2;-4;-1;0;
4;75;5;1;-1;-1;-1;1;
0;7;0;0;-2;-3;-1;-3;
0;1;0;1;-1;0;0;-1;
-2;-11;-5;-2;-2;-1;0;-2;
-2;-13;1;0;-2;-3;-2;-3;
-2;-24;-9;-1;-1;0;-1;0;
0;21;7;1;1;-1;-1;-2;
0;3;-1;-2;-1;-1;1;0;
-3;-18;-1;0;1;1;-1;1;
-2;-50;-11;-4;-1;-3;-2;-3;
0;39;6;0;0;-2;-2;-3;
-4;7;-3;-2;-2;-2;-1;-2;
-4;-9;-2;1;-1;-2;1;-3;
0;-2;-6;-1;-1;-1;-2;0;
-3;-8;-1;-1;-2;1;-1;-1;
-4;-5;-2;-1;-3;0;-2;-2;
2;4;-6;-1;-1;-1;0;-2;
-1;-14;0;1;-1;-1;-1;-1;
2;39;6;0;0;0;0;-3;
-2;-24;-4;-2;0;-2;-1;-1;
-4;-17;-3;-3;-1;-1;-1;1;
1;26;2;0;-1;0;0;-1;
-1;-38;-4;-3;-2;-2;-1;3;
1;21;2;0;-2;0;-2;-4;
2;18;2;1;1;-1;-1;-2;
-2;-8;-4;-2;-1;0;-1;1;
-2;7;-4;-2;-1;0;-1;-2;
0;-7;3;-1;-1;0;0;0;
-2;9;1;-1;-2;0;-1;-2;
1;4;-4;-1;0;-3;-1;0;
-3;8;3;-1;-1;-1;1;-3;
-2;-43;-10;-2;-1;-2;-1;-2;
0;45;7;0;0;-2;1;-1;
-1;-5;-1;-2;-1;-2;0;0;
0;-22;-1;0;-2;-4;-3;0;
2;36;0;0;-2;0;-1;0;
-4;-38;-1;-2;-2;-1;0;-1;
-1;-25;-9;-3;-2;0;-1;0;
-3;64;4;2;-1;-2;-3;-4;
-1;-9;-2;-1;-1;-1;-1;0;
-1;-6;-4;-2;-1;-1;-1;-1;
1;11;2;-2;0;-1;-1;-1;
-1;-23;-4;-1;-1;0;1;1;
-1;-10;0;-1;0;0;0;-1;
-1;-1;-3;-2;-2;-1;-1;1;
-1;1;-1;0;-1;0;-1;-1;
0;-16;-1;0;-1;0;-1;0;
0;16;2;0;-2;-1;-1;-2;
2;-18;-13;-3;0;-2;-2;-1;
-6;-5;4;1;-1;-1;0;0;
-1;9;-3;-4;-3;-1;-1;-1;
-2;-7;4;1;1;0;0;0;
1;-19;-1;1;-1;-2;-1;1;
0;28;1;-2;-2;-1;0;-2;
1;0;1;-1;0;0;0;0;
-2;-25;-6;-4;-3;-2;-2;-1;
0;20;5;0;-1;1;-1;-3;
2;2;2;1;-1;-2;-1;1;
-5;6;2;0;0;-1;-2;0;
-1;3;-4;-2;-1;-1;-1;-1;
-4;2;2;0;-1;0;-1;1;
-2;-5;-2;-1;-1;0;0;-1;
-2;-4;-5;-1;0;-2;-1;-4;
0;0;-1;0;0;-1;1;0;
-2;5;0;-1;-2;-3;-1;-2;
0;-6;0;1;0;-2;-1;-2;
1;-16;-3;-2;-1;-1;-1;1;
1;3;-5;0;-2;-1;-1;0;
0;15;0;-1;0;0;0;-1;
2;9;3;-1;0;0;-1;-2;
1;3;-3;-1;0;-2;-2;-4;
-1;-12;1;-3;0;-1;-1;-1;
-1;-23;-6;-1;0;-2;0;0;
-2;13;0;0;-2;-3;0;0;
1;22;3;0;-1;-1;-2;1;
-3;8;1;-1;-1;-2;-1;-3;
-4;-2;-1;-2;-1;-1;1;-2;
2;-15;-3;-1;-2;0;0;0;
0;-36;-10;-3;-1;0;-1;0;
0;46;8;1;0;0;-1;0;
0;14;3;-2;-3;0;-2;0;
-2;-15;2;1;-1;0;0;-2;
-2;-5;-2;-1;-2;-2;-1;-1;
0;-20;-4;-2;-2;-1;-3;0;
1;21;2;0;-2;1;0;1;
-4;-2;2;0;-1;0;-2;-3;
-2;-21;-6;0;0;0;1;-1;
-1;25;3;1;-1;-1;-2;-2;
-1;-17;-9;-3;-1;-1;-1;-1;
-2;-7;4;0;0;-1;-1;0;
0;-4;0;-3;-1;-2;-1;-1;
-2;-9;-4;-1;0;-1;0;-2;
-3;-15;-3;-2;0;-2;0;-2;
0;14;0;-2;-4;-2;-1;0;
1;0;0;-2;0;-1;-1;-1;
-2;-7;0;-2;-3;0;-1;-3;
-3;4;1;1;1;0;-1;0;
-2;1;0;1;-1;-2;-1;-1;
1;0;-1;2;-1;-2;-2;-1;
2;6;-5;-1;-2;-1;-1;-1;
-3;-24;-3;0;-2;-1;-1;0;
-1;-6;5;-1;0;0;0;0;
0;8;-1;2;0;0;0;1;
1;28;7;2;-2;-1;-1;-2;
-1;4;-4;-1;-2;-1;-1;-1;
0;-3;-1;-1;-1;-2;-2;1;
-1;-22;-3;-2;1;-1;-1;-1;
-3;-25;-2;-1;0;-1;-1;-1;
1;24;0;-1;-4;0;-1;-1;
0;-10;-6;-2;0;-1;0;0;
-2;8;1;-3;-1;0;-3;-1;
-1;-9;-2;0;-2;-3;1;0;
-1;2;-1;0;1;-1;-1;-2;
-3;1;2;1;0;-1;-1;-1;
1;7;0;-3;-1;0;-1;-1;
-3;5;2;0;2;0;-1;0;
-1;-11;0;-1;-1;0;-2;-2;
1;11;-3;0;-2;1;0;-2;
-3;-3;0;0;-2;0;-1;-1;
2;-22;-4;-3;-1;-1;-2;2;
-4;19;0;-1;-1;-2;-2;-3;
1;13;7;0;2;1;1;0;
-2;-20;-5;-1;-1;-2;0;2;
-2;19;1;-2;-1;-1;0;-4;
1;-18;0;1;-2;-1;-1;-1;
0;-4;0;-3;-1;1;0;1;
-2;0;-1;-1;2;-1;0;-3;
0;10;-2;-2;-2;-1;-1;-1;
0;-8;0;-2;0;0;-3;-3;
-3;5;-4;-2;-1;0;-2;-3;
0;-16;-8;-1;-1;0;-1;2;
-2;8;-1;-1;-2;-1;-1;-1;
-1;-3;1;-1;0;-1;-1;0;
0;-3;-1;1;-3;-2;-1;-1;
-1;-5;-4;-1;-1;-1;-1;-1;
1;0;-1;0;0;-1;-1;0;
-2;-9;0;0;1;-2;-1;0;
0;-2;0;-1;-1;0;0;-1;
-1;39;7;0;0;-1;-2;-1;
-5;-7;-7;-2;-2;-2;-3;0;
1;-3;-3;0;-2;-1;-2;-1;
-4;-4;3;-1;-2;-1;0;-2;
1;-10;-3;-3;0;-2;0;0;
1;11;-3;0;-2;1;0;-2;
-3;-3;0;0;-2;0;-1;-1;
2;-22;-4;-3;-1;-1;-2;2;
-4;19;0;-1;-1;-2;-2;-3;
1;13;7;0;2;1;1;0;
-2;-20;-5;-1;-1;-2;0;2;
-2;19;1;-2;-1;-1;0;-4;
1;-18;0;1;-2;-1;-1;-1;
0;-4;0;-3;-1;1;0;1;
-2;0;-1;-1;2;-1;0;-3;
0;10;-2;-2;-2;-1;-1;-1;
0;-8;0;-2;0;0;-3;-3;
-3;5;-4;-2;-1;0;-2;-3;
0;-16;-8;-1;-1;0;-1;2;
-2;8;-1;-1;-2;-1;-1;-1;
-1;-3;1;-1;0;-1;-1;0;
0;-3;-1;1;-3;-2;-1;-1;
-1;-5;-4;-1;-1;-1;-1;-1;
1;0;-1;0;0;-1;-1;0;
-2;-9;0;0;1;-2;-1;0;
0;-2;0;-1;-1;0;0;-1;
-1;39;7;0;0;-1;-2;-1;
-5;-7;-7;-2;-2;-2;-3;0;
1;-3;-3;0;-2;-1;-2;-1;
-4;-4;3;-1;-2;-1;0;-2;
1;-10;-3;-3;0;-2;0;0;
-2;-4;-7;-2;0;-1;1;-2;
-1;23;3;-1;-3;-2;-1;-2;
-1;-5;5;1;-3;1;1;1;
-1;7;-1;1;-1;-1;-1;-3;
-2;-12;-1;-2;-2;-1;-2;-1;
-1;2;-5;-1;1;1;-1;-2;
-4;-6;4;0;-1;-2;-2;-4;
-1;-37;-10;-1;-1;1;-1;3;
1;9;8;1;-1;-1;-1;-1;
-1;16;0;-1;-1;-2;-1;0;
0;3;-5;-1;0;0;0;1;
-5;-19;-3;1;0;0;-2;-4;
0;6;-6;-2;-2;0;0;0;
-1;-13;-1;-1;-1;0;-1;0;
2;-10;-3;-2;-2;-1;-1;-2;
1;18;2;-2;-1;-3;1;-1;
-2;-10;-2;-1;1;-2;0;-2;
-2;-11;-2;-2;0;-2;0;0;
-1;6;4;-1;-1;2;0;0;
-1;7;0;-2;-1;0;-1;-1;
1;-10;-2;-1;-2;0;0;2;
2;-35;-5;-2;0;0;-2;0;
-2;45;2;0;0;-3;-1;-1;
0;-8;-2;0;-1;-1;-2;1;
-4;8;2;0;0;-2;-1;-5;
2;17;2;-2;-2;-4;-2;-2;
-2;-5;1;-1;-1;0;0;0;
2;-1;-1;-1;-1;0;-1;-2;
-1;-14;-6;0;-1;0;0;1;
2;24;-3;-2;-3;-2;-2;-1;
-2;-31;2;0;1;-2;-1;0;
-2;2;-2;-2;-2;-2;1;0;
2;11;0;1;-1;-1;-1;-1;
-4;-2;-6;-2;-1;-1;1;-1;
2;14;3;-1;-1;-1;-1;-1;
0;-9;-5;-3;-1;-2;-1;-1;
1;10;1;-1;0;-1;-1;-1;
-3;-4;1;0;-2;0;-1;-1;
-2;-10;-3;-2;-1;-1;-2;-1;
-1;0;4;-1;0;-1;0;-2;
1;0;-2;-1;-1;-3;-3;-1;
-1;-34;-4;-2;-1;-2;-1;0;
-1;45;4;0;-1;0;-2;-2;
-1;-5;-1;-1;-1;1;0;-2;
-1;2;-4;-1;-2;-2;-3;0;
-1;-23;-4;1;1;0;0;0;
-1;-1;-2;-1;-2;0;0;-1;
-1;-11;-4;-1;0;2;-1;0;
-1;2;-4;-1;-1;0;-2;-1;
0;-39;-6;-2;-1;0;0;2;
0;76;3;1;-1;-1;-2;0;
-5;-26;1;-1;-1;-2;-1;-2;
-1;7;-1;-3;-1;0;-1;-1;
2;-4;-4;-3;-3;-3;-2;-2;
-1;-21;-5;1;-1;-1;-1;0;
-4;-13;1;-2;-1;-1;-1;-2;
-2;-12;-6;-2;-1;-1;0;-1;
1;39;9;2;1;0;1;-1;
-1;-17;-7;-3;0;-1;-1;-4;
0;11;-1;0;-1;0;-2;0;
0;-11;0;0;-1;-1;-1;-2;
-1;-19;-7;-2;-4;-1;-1;-1;
-3;0;1;-1;-2;0;-2;-2;
2;-10;-4;0;1;0;0;-1;
-2;16;7;0;-1;1;0;-1;
0;-4;-4;-3;0;0;-2;-1;
0;3;2;-2;-1;0;1;1;
0;0;-1;-1;-1;-3;-1;-2;
1;7;-3;-1;0;-1;-2;0;
-3;-32;-5;-1;-1;-1;0;-1;
-2;19;4;0;0;-1;-1;-1;
-2;31;8;2;0;0;1;-1;
-1;48;6;-1;-1;1;-1;0;
-3;-15;-7;-3;-1;-2;-1;1;
0;-32;-7;-3;-1;-1;-1;0;
-2;32;6;0;1;-3;-1;-3;
-3;-24;-1;-1;-1;-1;0;0;
1;-10;-1;0;-2;0;-1;1;
2;12;-4;-2;-1;0;-3;0;
-3;-19;-3;-2;-2;0;0;0;
0;-2;-1;-2;-2;-1;0;0;
-1;1;0;-1;1;-1;-1;0;
-3;-7;-1;0;-2;-1;1;1;
-2;1;-1;0;-1;0;-1;0;
-3;8;1;0;1;-2;-1;-1;
3;-3;-4;-1;-1;-1;0;-1;
-6;-48;-3;0;0;-1;-3;-1;
